channel	counts
0	10215
1	9936
2	10103
3	10327
4	10096
5	10376
6	10062
7	10320
8	10293
9	9971
10	10277
11	10018
12	10121
13	10225
14	10203
15	10398
16	9925
17	10352
18	10068
19	10126
20	10162
21	10152
22	10146
23	10127
24	10119
25	10184
26	10058
27	10325
28	10232
29	10131
30	10096
31	10041
32	10093
33	10248
34	10112
35	10273
36	10068
37	9977
38	10157
39	10195
40	10359
41	10057
42	10286
43	10078
44	9997
45	10360
46	10109
47	10272
48	10358
49	10012
50	10111
51	10168
52	10311
53	10100
54	10201
55	10162
56	9905
57	10214
58	10080
59	10099
60	10347
61	10001
62	10119
63	10155
64	9992
65	10094
66	9863
67	9981
68	10146
69	10055
70	10072
71	9834
72	10133
73	10105
74	9962
75	10045
76	9793
77	10010
78	9982
79	10129
80	10278
81	10094
82	10061
83	10257
84	9958
85	10052
86	10148
87	10048
88	10098
89	10051
90	10128
91	10008
92	9980
93	9942
94	9900
95	10257
96	9948
97	9974
98	10052
99	9926
100	9791
101	9829
102	10148
103	10026
104	10018
105	10057
106	9926
107	9964
108	10150
109	9773
110	10123
111	10195
112	9958
113	9987
114	9898
115	10013
116	9965
117	9945
118	10015
119	10112
120	10205
121	9963
122	10071
123	10043
124	9888
125	9934
126	9836
127	9881
128	9967
129	9711
130	10063
131	9835
132	9989
133	10171
134	9826
135	10104
136	10006
137	9844
138	9919
139	9963
140	9911
141	9813
142	9861
143	9815
144	9699
145	9911
146	9753
147	9761
148	9756
149	9783
150	9984
151	9827
152	9884
153	9812
154	9881
155	9631
156	9720
157	9785
158	9733
159	9882
160	9731
161	9637
162	9705
163	9797
164	9793
165	9945
166	9700
167	9701
168	9994
169	9809
170	9762
171	9546
172	9580
173	9654
174	9702
175	9737
176	9576
177	9703
178	9540
179	9724
180	9640
181	9569
182	9497
183	9553
184	9663
185	9628
186	9395
187	9619
188	9432
189	9339
190	9580
191	9491
192	9613
193	9369
194	9457
195	9392
196	9286
197	9299
198	9440
199	9358
200	9500
201	9221
202	9201
203	9314
204	9230
205	9362
206	9314
207	9251
208	9235
209	9182
210	9040
211	8946
212	9086
213	9145
214	8961
215	9277
216	8863
217	8862
218	8981
219	8971
220	8882
221	8962
222	8778
223	8934
224	8652
225	8776
226	8692
227	8945
228	8662
229	8504
230	8586
231	8388
232	8445
233	8319
234	8432
235	8262
236	8235
237	8188
238	7918
239	7994
240	7984
241	7798
242	7806
243	7524
244	7516
245	7604
246	7269
247	7373
248	7066
249	7077
250	7048
251	6751
252	6785
253	6575
254	6452
255	6432
256	6318
257	6379
258	6115
259	5978
260	5854
261	5819
262	5688
263	5519
264	5473
265	5380
266	5433
267	5336
268	5248
269	5295
270	5373
271	5357
272	5549
273	5427
274	5552
275	5664
276	5814
277	5878
278	6084
279	5930
280	6251
281	6177
282	6590
283	6744
284	6828
285	6974
286	6965
287	7183
288	7298
289	7496
290	7620
291	7740
292	7830
293	7776
294	8023
295	8210
296	8172
297	8275
298	8588
299	8638
300	8417
301	8586
302	8693
303	8879
304	8825
305	9055
306	8866
307	8951
308	9270
309	9208
310	9225
311	9186
312	9266
313	9201
314	9291
315	9415
316	9460
317	9744
318	9583
319	9633
320	9906
321	9676
322	9994
323	9598
324	9682
325	9840
326	9750
327	9801
328	9943
329	9825
330	9884
331	9850
332	10048
333	10078
334	9862
335	10137
336	9852
337	10239
338	10244
339	10059
340	10069
341	9985
342	10120
343	10274
344	10040
345	9978
346	10084
347	10287
348	10273
349	10290
350	10200
351	10188
352	10218
353	10166
354	10295
355	10306
356	10148
357	10212
358	10348
359	10188
360	10319
361	10100
362	10275
363	10140
364	10436
365	10332
366	10259
367	10241
368	10450
369	10335
370	10337
371	10382
372	10472
373	10352
374	10356
375	10358
376	10340
377	10484
378	10477
379	10301
380	10308
381	10308
382	10655
383	10385
384	10431
385	10512
386	10412
387	10426
388	10581
389	10290
390	10368
391	10248
392	10655
393	10325
394	10452
395	10502
396	10237
397	10496
398	10253
399	10481
400	10490
401	10277
402	10600
403	10577
404	10501
405	10601
406	10438
407	10539
408	10567
409	10336
410	10684
411	10598
412	10501
413	10460
414	10347
415	10314
416	10490
417	10388
418	10504
419	10304
420	10469
421	10275
422	10323
423	10491
424	10497
425	10427
426	10336
427	10619
428	10436
429	10508
430	10724
431	10542
432	10541
433	10492
434	10307
435	10685
436	10353
437	10771
438	10347
439	10441
440	10445
441	10517
442	10508
443	10428
444	10319
445	10530
446	10480
447	10476
448	10540
449	10540
450	10570
451	10440
452	10639
453	10496
454	10553
455	10580
456	10400
