X, Y0
4.7500,0.0009
4.7530,0.0010
4.7560,0.0011
4.7590,0.0011
4.7621,0.0009
4.7651,0.0009
4.7681,0.0012
4.7711,0.0008
4.7741,0.0009
4.7771,0.0008
4.7801,0.0009
4.7832,0.0010
4.7862,0.0009
4.7892,0.0010
4.7922,0.0011
4.7952,0.0010
4.7982,0.0010
4.8012,0.0009
4.8043,0.0009
4.8073,0.0011
4.8103,0.0010
4.8133,0.0010
4.8163,0.0008
4.8193,0.0007
4.8223,0.0007
4.8254,0.0007
4.8284,0.0009
4.8314,0.0010
4.8344,0.0007
4.8374,0.0011
4.8404,0.0010
4.8434,0.0008
4.8465,0.0010
4.8495,0.0008
4.8525,0.0011
4.8555,0.0010
4.8585,0.0008
4.8615,0.0010
4.8645,0.0010
4.8676,0.0010
4.8706,0.0008
4.8736,0.0009
4.8766,0.0008
4.8796,0.0008
4.8826,0.0011
4.8857,0.0008
4.8887,0.0008
4.8917,0.0009
4.8947,0.0008
4.8977,0.0008
4.9007,0.0009
4.9037,0.0011
4.9068,0.0009
4.9098,0.0009
4.9128,0.0010
4.9158,0.0009
4.9188,0.0009
4.9218,0.0008
4.9248,0.0009
4.9279,0.0008
4.9309,0.0009
4.9339,0.0010
4.9369,0.0008
4.9399,0.0008
4.9429,0.0009
4.9459,0.0009
4.9490,0.0008
4.9520,0.0009
4.9550,0.0008
4.9580,0.0011
4.9610,0.0011
4.9640,0.0009
4.9670,0.0009
4.9701,0.0009
4.9731,0.0009
4.9761,0.0010
4.9791,0.0009
4.9821,0.0011
4.9851,0.0009
4.9881,0.0009
4.9912,0.0009
4.9942,0.0011
4.9972,0.0009
5.0002,0.0008
5.0032,0.0008
5.0062,0.0009
5.0092,0.0011
5.0123,0.0009
5.0153,0.0009
5.0183,0.0010
5.0213,0.0010
5.0243,0.0009
5.0273,0.0008
5.0303,0.0011
5.0334,0.0009
5.0364,0.0009
5.0394,0.0009
5.0424,0.0009
5.0454,0.0010
5.0484,0.0009
5.0514,0.0008
5.0545,0.0009
5.0575,0.0008
5.0605,0.0009
5.0635,0.0009
5.0665,0.0011
5.0695,0.0009
5.0725,0.0011
5.0756,0.0009
5.0786,0.0010
