X, Y0
0.0000,0.0002
0.0050,0.0011
0.0100,0.0012
0.0150,0.0012
0.0200,0.0012
0.0250,0.0012
0.0300,0.0012
0.0350,0.0012
0.0400,0.0012
0.0450,0.0012
0.0500,0.0012
0.0550,0.0012
0.0600,0.0012
0.0650,0.0012
0.0700,0.0012
0.0750,0.0012
0.0800,0.0012
0.0850,0.0012
0.0900,0.0012
0.0950,0.0012
0.1000,0.0012
0.1050,0.0012
0.1100,0.0012
0.1150,0.0012
0.1200,0.0012
0.1250,0.0012
0.1300,0.0012
0.1350,0.0012
0.1400,0.0015
0.1450,0.0013
0.1500,0.0013
0.1550,0.0012
0.1600,0.0012
0.1650,0.0012
0.1700,0.0012
0.1750,0.0012
0.1800,0.0012
0.1850,0.0013
0.1900,0.0012
0.1950,0.0012
0.2000,0.0014
0.2050,0.0012
0.2100,0.0012
0.2150,0.0012
0.2200,0.0012
0.2250,0.0012
0.2300,0.0012
0.2350,0.0012
0.2400,0.0012
0.2450,0.0012
0.2500,0.0012
0.2550,0.0012
0.2600,0.0012
0.2650,0.0012
0.2700,0.0012
0.2750,0.0012
0.2800,0.0012
0.2850,0.0012
0.2900,0.0012
0.2950,0.0012
0.3000,0.0012
0.3050,0.0012
0.3100,0.0012
0.3150,0.0012
0.3200,0.0012
0.3250,0.0012
0.3300,0.0012
0.3350,0.0012
0.3400,0.0012
0.3450,0.0012
0.3500,0.0012
0.3551,0.0012
0.3601,0.0012
0.3651,0.0012
0.3701,0.0012
0.3751,0.0012
0.3801,0.0012
0.3851,0.0012
0.3901,0.0015
0.3951,0.0013
0.4001,0.0012
0.4051,0.0012
0.4101,0.0012
0.4151,0.0012
0.4201,0.0012
0.4251,0.0012
0.4301,0.0012
0.4351,0.0012
0.4401,0.0012
0.4451,0.0012
0.4501,0.0012
0.4551,0.0012
0.4601,0.0012
0.4651,0.0012
0.4701,0.0012
0.4751,0.0012
0.4801,0.0012
0.4851,0.0012
0.4901,0.0012
0.4951,0.0012
0.5001,0.0012
0.5051,0.0012
0.5101,0.0012
0.5151,0.0012
0.5201,0.0012
0.5251,0.0012
0.5301,0.0012
0.5351,0.0012
0.5401,0.0012
0.5451,0.0012
0.5501,0.0012
0.5551,0.0012
0.5601,0.0012
0.5651,0.0012
0.5701,0.0012
0.5751,0.0012
0.5801,0.0012
0.5851,0.0012
0.5901,0.0012
0.5951,0.0012
0.6001,0.0012
0.6051,0.0012
0.6101,0.0012
0.6151,0.0012
0.6201,0.0012
0.6251,0.0012
0.6301,0.0012
0.6351,0.0012
0.6401,0.0012
0.6451,0.0012
0.6501,0.0015
0.6551,0.0013
0.6601,0.0012
0.6651,0.0012
0.6701,0.0013
0.6751,0.0012
0.6801,0.0012
0.6851,0.0012
0.6901,0.0012
0.6951,0.0012
0.7001,0.0012
0.7051,0.0012
0.7101,0.0012
0.7151,0.0012
0.7201,0.0012
0.7251,0.0012
0.7301,0.0012
0.7351,0.0012
0.7401,0.0012
0.7451,0.0012
0.7501,0.0012
0.7551,0.0012
0.7601,0.0012
0.7651,0.0012
0.7701,0.0012
0.7751,0.0012
0.7801,0.0012
0.7851,0.0012
0.7901,0.0012
0.7951,0.0012
0.8001,0.0012
0.8051,0.0012
0.8101,0.0014
0.8151,0.0012
0.8201,0.0013
0.8251,0.0012
0.8301,0.0012
0.8351,0.0012
0.8401,0.0012
0.8451,0.0012
0.8501,0.0012
0.8551,0.0012
0.8601,0.0012
0.8651,0.0012
0.8701,0.0012
0.8751,0.0012
0.8801,0.0012
0.8851,0.0012
0.8901,0.0012
0.8951,0.0012
0.9001,0.0012
0.9051,0.0012
0.9101,0.0012
0.9151,0.0012
0.9201,0.0012
0.9251,0.0012
0.9301,0.0012
0.9351,0.0012
0.9401,0.0012
0.9451,0.0012
0.9501,0.0012
0.9551,0.0012
0.9601,0.0012
0.9651,0.0012
0.9701,0.0012
0.9751,0.0012
0.9801,0.0012
0.9851,0.0012
0.9901,0.0012
0.9951,0.0012
1.0001,0.0012
1.0051,0.0012
1.0101,0.0012
1.0151,0.0012
1.0201,0.0012
1.0251,0.0012
1.0301,0.0014
1.0351,0.0012
1.0401,0.0012
1.0451,0.0012
1.0501,0.0012
1.0551,0.0012
1.0602,0.0012
1.0652,0.0012
1.0702,0.0012
1.0752,0.0013
1.0802,0.0012
1.0852,0.0012
1.0902,0.0012
1.0952,0.0012
1.1002,0.0012
1.1052,0.0012
1.1102,0.0012
1.1152,0.0012
1.1202,0.0012
1.1252,0.0012
1.1302,0.0012
1.1352,0.0015
1.1402,0.0015
1.1452,0.0012
1.1502,0.0012
1.1552,0.0012
1.1602,0.0012
1.1652,0.0012
1.1702,0.0015
1.1752,0.0015
1.1802,0.0015
1.1852,0.0012
1.1902,0.0012
1.1952,0.0012
1.2002,0.0012
1.2052,0.0012
1.2102,0.0012
1.2152,0.0012
1.2202,0.0012
1.2252,0.0012
1.2302,0.0012
1.2352,0.0012
1.2402,0.0012
1.2452,0.0012
1.2502,0.0012
1.2552,0.0012
1.2602,0.0012
1.2652,0.0012
1.2702,0.0012
1.2752,0.0012
1.2802,0.0012
1.2852,0.0012
1.2902,0.0012
1.2952,0.0012
1.3002,0.0012
1.3052,0.0012
1.3102,0.0012
1.3152,0.0012
1.3202,0.0012
1.3252,0.0012
1.3302,0.0012
1.3352,0.0012
1.3402,0.0012
1.3452,0.0012
1.3502,0.0012
1.3552,0.0012
1.3602,0.0012
1.3652,0.0012
1.3702,0.0012
1.3752,0.0012
1.3802,0.0012
1.3852,0.0012
1.3902,0.0012
1.3952,0.0012
1.4002,0.0012
1.4052,0.0012
1.4102,0.0012
1.4152,0.0012
1.4202,0.0012
1.4252,0.0012
1.4302,0.0015
1.4352,0.0013
1.4402,0.0012
1.4452,0.0012
1.4502,0.0012
1.4552,0.0012
1.4602,0.0012
1.4652,0.0012
1.4702,0.0014
1.4752,0.0012
1.4802,0.0012
1.4852,0.0012
1.4902,0.0012
1.4952,0.0012
1.5002,0.0012
1.5052,0.0012
1.5102,0.0012
1.5152,0.0012
1.5202,0.0012
1.5252,0.0012
1.5302,0.0012
1.5352,0.0012
1.5402,0.0012
1.5452,0.0012
1.5502,0.0012
1.5552,0.0012
1.5602,0.0012
1.5652,0.0012
1.5702,0.0012
1.5752,0.0012
1.5802,0.0012
1.5852,0.0012
1.5902,0.0012
1.5952,0.0012
1.6002,0.0012
1.6052,0.0012
1.6102,0.0012
1.6152,0.0012
1.6202,0.0012
1.6252,0.0012
1.6302,0.0013
1.6352,0.0015
1.6402,0.0012
1.6452,0.0012
1.6502,0.0012
1.6552,0.0012
