X, Y0
9.9460,0.0097
9.9490,0.0097
9.9520,0.0097
9.9551,0.0097
9.9581,0.0097
9.9611,0.0097
9.9641,0.0097
9.9672,0.0097
9.9702,0.0097
9.9732,0.0097
9.9762,0.0097
9.9792,0.0097
9.9823,0.0097
9.9853,0.0097
9.9883,0.0097
9.9913,0.0097
9.9944,0.0097
9.9974,0.0097
10.0004,0.0097
10.0034,0.0097
10.0065,0.0097
10.0095,0.0097
10.0125,0.0097
10.0155,0.0097
10.0185,0.0097
10.0216,0.0097
10.0246,0.0097
10.0276,0.0097
10.0306,0.0097
10.0337,0.0097
10.0367,0.0097
10.0397,0.0097
10.0427,0.0097
10.0457,0.0097
10.0488,0.0097
10.0518,0.0097
10.0548,0.0097
10.0578,0.0097
10.0609,0.0097
10.0639,0.0097
10.0669,0.0097
10.0699,0.0097
10.0730,0.0097
10.0760,0.0097
10.0790,0.0097
10.0820,0.0097
10.0850,0.0094
10.0881,0.0097
10.0911,0.0097
10.0941,0.0097
10.0971,0.0097
10.1002,0.0097
10.1032,0.0097
10.1062,0.0097
10.1092,0.0097
10.1122,0.0097
10.1153,0.0097
10.1183,0.0097
10.1213,0.0097
10.1243,0.0097
10.1274,0.0097
10.1304,0.0097
10.1334,0.0097
10.1364,0.0097
10.1395,0.0097
10.1425,0.0097
10.1455,0.0097
10.1485,0.0097
10.1515,0.0097
10.1546,0.0097
10.1576,0.0097
10.1606,0.0097
10.1636,0.0097
10.1667,0.0097
10.1697,0.0097
10.1727,0.0097
10.1757,0.0097
10.1787,0.0097
10.1818,0.0097
10.1848,0.0097
10.1878,0.0097
10.1908,0.0097
10.1939,0.0097
10.1969,0.0097
10.1999,0.0097
10.2029,0.0097
10.2060,0.0097
10.2090,0.0098
10.2120,0.0100
10.2150,0.0099
10.2180,0.0100
10.2211,0.0099
10.2241,0.0100
10.2271,0.0100
10.2301,0.0101
10.2332,0.0098
10.2362,0.0097
10.2392,0.0097
10.2422,0.0097
10.2452,0.0097
10.2483,0.0097
10.2513,0.0097
10.2543,0.0097
10.2573,0.0100
10.2604,0.0100
10.2634,0.0098
10.2664,0.0100
10.2694,0.0101
10.2724,0.0101
10.2755,0.0101
10.2785,0.0101
10.2815,0.0101
10.2845,0.0101
10.2876,0.0101
10.2906,0.0101
10.2936,0.0101
10.2966,0.0101
10.2997,0.0100
10.3027,0.0097
10.3057,0.0097
10.3087,0.0097
10.3117,0.0097
10.3148,0.0097
10.3178,0.0097
10.3208,0.0097
10.3238,0.0097
10.3269,0.0098
10.3299,0.0097
10.3329,0.0099
10.3359,0.0100
10.3389,0.0101
10.3420,0.0101
10.3450,0.0101
10.3480,0.0099
10.3510,0.0100
10.3541,0.0100
10.3571,0.0100
10.3601,0.0100
10.3631,0.0101
10.3662,0.0101
10.3692,0.0101
10.3722,0.0100
10.3752,0.0100
10.3782,0.0099
10.3813,0.0097
10.3843,0.0100
10.3873,0.0100
10.3903,0.0100
10.3934,0.0101
10.3964,0.0101
10.3994,0.0101
10.4024,0.0101
10.4054,0.0101
10.4085,0.0101
10.4115,0.0101
10.4145,0.0101
10.4175,0.0101
10.4206,0.0101
10.4236,0.0101
10.4266,0.0101
10.4296,0.0100
10.4327,0.0099
10.4357,0.0100
10.4387,0.0099
10.4417,0.0097
10.4447,0.0097
10.4478,0.0097
10.4508,0.0097
10.4538,0.0097
10.4568,0.0097
10.4599,0.0097
10.4629,0.0099
10.4659,0.0099
10.4689,0.0100
10.4719,0.0100
10.4750,0.0099
10.4780,0.0100
10.4810,0.0101
10.4840,0.0101
10.4871,0.0100
10.4901,0.0100
10.4931,0.0097
10.4961,0.0100
10.4992,0.0100
10.5022,0.0100
10.5052,0.0100
10.5082,0.0101
10.5112,0.0101
10.5143,0.0101
10.5173,0.0100
10.5203,0.0097
10.5233,0.0097
10.5264,0.0097
10.5294,0.0097
10.5324,0.0097
10.5354,0.0097
10.5384,0.0097
10.5415,0.0097
10.5445,0.0097
10.5475,0.0097
10.5505,0.0097
10.5536,0.0097
10.5566,0.0097
10.5596,0.0100
10.5626,0.0100
10.5656,0.0101
10.5687,0.0101
10.5717,0.0101
10.5747,0.0101
10.5777,0.0098
10.5808,0.0097
10.5838,0.0097
10.5868,0.0097
10.5898,0.0097
10.5929,0.0097
10.5959,0.0097
10.5989,0.0097
10.6019,0.0097
10.6049,0.0097
10.6080,0.0097
10.6110,0.0097
10.6140,0.0097
10.6170,0.0097
10.6201,0.0097
10.6231,0.0097
10.6261,0.0097
10.6291,0.0097
10.6321,0.0097
10.6352,0.0097
10.6382,0.0097
10.6412,0.0097
10.6442,0.0097
10.6473,0.0097
10.6503,0.0097
10.6533,0.0097
10.6563,0.0097
10.6594,0.0097
10.6624,0.0097
10.6654,0.0097
10.6684,0.0096
10.6714,0.0097
10.6745,0.0096
10.6775,0.0097
10.6805,0.0097
10.6835,0.0094
10.6866,0.0094
10.6896,0.0097
10.6926,0.0097
10.6956,0.0097
10.6986,0.0097
10.7017,0.0097
10.7047,0.0097
10.7077,0.0097
10.7107,0.0097
10.7138,0.0097
10.7168,0.0097
10.7198,0.0097
10.7228,0.0097
10.7259,0.0097
10.7289,0.0097
10.7319,0.0097
10.7349,0.0097
10.7379,0.0097
10.7410,0.0097
10.7440,0.0097
10.7470,0.0097
10.7500,0.0097
10.7531,0.0097
10.7561,0.0097
10.7591,0.0097
10.7621,0.0097
10.7651,0.0097
10.7682,0.0097
10.7712,0.0097
10.7742,0.0097
10.7772,0.0097
10.7803,0.0097
10.7833,0.0097
10.7863,0.0097
10.7893,0.0097
10.7924,0.0097
10.7954,0.0097
10.7984,0.0097
10.8014,0.0096
10.8044,0.0096
10.8075,0.0097
10.8105,0.0097
10.8135,0.0097
10.8165,0.0097
10.8196,0.0097
10.8226,0.0094
10.8256,0.0094
10.8286,0.0094
10.8316,0.0094
10.8347,0.0094
10.8377,0.0094
10.8407,0.0097
10.8437,0.0097
10.8468,0.0097
10.8498,0.0097
10.8528,0.0097
10.8558,0.0097
10.8589,0.0097
10.8619,0.0097
10.8649,0.0097
10.8679,0.0097
10.8709,0.0097
10.8740,0.0097
10.8770,0.0097
10.8800,0.0097
10.8830,0.0097
10.8861,0.0097
10.8891,0.0097
10.8921,0.0097
10.8951,0.0097
10.8981,0.0097
10.9012,0.0097
10.9042,0.0097
10.9072,0.0097
10.9102,0.0097
10.9133,0.0097
10.9163,0.0097
10.9193,0.0097
10.9223,0.0097
10.9254,0.0097
10.9284,0.0097
10.9314,0.0097
10.9344,0.0097
10.9374,0.0097
10.9405,0.0097
10.9435,0.0097
10.9465,0.0097
10.9495,0.0097
10.9526,0.0097
10.9556,0.0097
10.9586,0.0097
10.9616,0.0097
10.9646,0.0097
10.9677,0.0097
10.9707,0.0097
10.9737,0.0097
