X, Y0
0.0000,0.0045
0.0250,0.0041
0.0500,0.0041
0.0750,0.0047
0.1000,0.0042
0.1250,0.0042
0.1500,0.0037
0.1750,0.0038
0.2000,0.0034
0.2250,0.0038
0.2500,0.0042
0.2750,0.0041
0.3000,0.0043
0.3250,0.0043
0.3500,0.0034
0.3750,0.0032
0.4000,0.0034
0.4250,0.0027
0.4500,0.0027
0.4750,0.0027
0.5000,0.0038
0.5250,0.0044
0.5500,0.0043
0.5750,0.0047
0.6000,0.0045
0.6250,0.0041
0.6500,0.0040
0.6750,0.0035
0.7000,0.0041
0.7250,0.0044
0.7500,0.0047
0.7750,0.0044
0.8000,0.0052
0.8250,0.0054
0.8500,0.0059
0.8750,0.0059
0.9000,0.0060
0.9250,0.0066
0.9500,0.0066
0.9750,0.0063
1.0000,0.0067
1.0250,0.0069
1.0500,0.0072
1.0750,0.0078
1.1000,0.0083
1.1250,0.0075
1.1500,0.0071
1.1750,0.0060
1.2000,0.0057
1.2250,0.0054
1.2500,0.0052
1.2750,0.0048
1.3000,0.0051
1.3250,0.0055
1.3500,0.0051
1.3750,0.0052
1.4000,0.0049
1.4250,0.0049
1.4500,0.0046
1.4750,0.0046
1.5000,0.0047
1.5250,0.0045
1.5500,0.0050
1.5750,0.0049
1.6000,0.0049
1.6250,0.0055
1.6500,0.0055
1.6750,0.0049
1.7000,0.0047
1.7250,0.0046
1.7500,0.0040
1.7750,0.0043
1.8000,0.0039
1.8250,0.0032
1.8500,0.0042
1.8750,0.0046
1.9000,0.0046
1.9250,0.0049
1.9500,0.0046
1.9750,0.0041
2.0000,0.0031
2.0250,0.0029
2.0500,0.0027
2.0750,0.0033
2.1000,0.0033
2.1250,0.0039
2.1500,0.0036
2.1750,0.0031
2.2000,0.0029
2.2250,0.0029
2.2500,0.0025
2.2750,0.0029
2.3000,0.0036
2.3250,0.0049
2.3500,0.0041
2.3750,0.0036
2.4000,0.0033
2.4250,0.0036
2.4500,0.0034
2.4750,0.0033
2.5000,0.0035
2.5250,0.0030
2.5500,0.0025
2.5750,0.0019
2.6000,0.0027
2.6250,0.0032
2.6500,0.0033
2.6750,0.0037
2.7000,0.0030
2.7250,0.0028
2.7500,0.0033
2.7750,0.0043
2.8000,0.0042
2.8250,0.0049
2.8500,0.0050
2.8750,0.0047
2.9000,0.0052
2.9250,0.0062
2.9500,0.0059
2.9750,0.0048
3.0000,0.0043
3.0250,0.0038
3.0500,0.0045
3.0750,0.0039
3.1000,0.0033
3.1250,0.0033
3.1500,0.0046
3.1750,0.0052
3.2000,0.0050
3.2250,0.0045
3.2500,0.0043
3.2750,0.0041
3.3000,0.0040
3.3250,0.0043
3.3500,0.0039
3.3750,0.0042
3.4000,0.0044
3.4250,0.0047
3.4500,0.0045
3.4750,0.0048
3.5000,0.0041
3.5250,0.0044
3.5500,0.0037
3.5750,0.0041
3.6000,0.0039
3.6250,0.0033
