X, Y0
20.0985,0.0022
20.1009,0.0022
20.1033,0.0022
20.1056,0.0022
20.1080,0.0022
20.1104,0.0022
20.1128,0.0022
20.1152,0.0022
20.1176,0.0022
20.1200,0.0022
20.1223,0.0022
20.1247,0.0022
20.1271,0.0022
20.1295,0.0022
20.1319,0.0022
20.1343,0.0022
20.1366,0.0022
20.1390,0.0022
20.1414,0.0022
20.1438,0.0022
20.1462,0.0022
20.1486,0.0022
20.1509,0.0022
20.1533,0.0022
20.1557,0.0022
20.1581,0.0022
20.1605,0.0022
20.1629,0.0022
20.1652,0.0022
20.1676,0.0022
20.1700,0.0022
20.1724,0.0022
20.1748,0.0022
20.1772,0.0022
20.1795,0.0022
20.1819,0.0022
20.1843,0.0022
20.1867,0.0022
20.1891,0.0022
20.1915,0.0022
20.1938,0.0022
20.1962,0.0022
20.1986,0.0022
20.2010,0.0022
20.2034,0.0022
20.2058,0.0022
20.2081,0.0022
20.2105,0.0022
20.2129,0.0022
20.2153,0.0022
20.2177,0.0022
20.2201,0.0022
20.2224,0.0022
20.2248,0.0022
20.2272,0.0022
20.2296,0.0022
20.2320,0.0022
20.2344,0.0022
20.2367,0.0022
20.2391,0.0022
20.2415,0.0022
20.2439,0.0022
20.2463,0.0022
20.2487,0.0022
20.2510,0.0022
20.2534,0.0022
20.2558,0.0022
20.2582,0.0022
20.2606,0.0022
20.2630,0.0022
20.2654,0.0022
20.2677,0.0022
20.2701,0.0022
20.2725,0.0022
20.2749,0.0022
20.2773,0.0022
20.2797,0.0022
20.2820,0.0022
20.2844,0.0022
20.2868,0.0022
20.2892,0.0022
20.2916,0.0022
20.2940,0.0022
20.2963,0.0022
20.2987,0.0022
20.3011,0.0022
20.3035,0.0022
20.3059,0.0022
20.3083,0.0022
20.3106,0.0022
20.3130,0.0022
20.3154,0.0019
20.3178,0.0018
20.3202,0.0018
20.3226,0.0018
20.3249,0.0018
20.3273,0.0018
20.3297,0.0018
20.3321,0.0018
20.3345,0.0019
20.3369,0.0021
20.3392,0.0022
20.3416,0.0022
20.3440,0.0022
20.3464,0.0022
20.3488,0.0022
20.3512,0.0022
20.3535,0.0022
20.3559,0.0022
20.3583,0.0022
20.3607,0.0022
20.3631,0.0022
20.3655,0.0022
20.3678,0.0022
20.3702,0.0022
20.3726,0.0022
20.3750,0.0022
20.3774,0.0022
20.3798,0.0022
20.3821,0.0022
20.3845,0.0022
20.3869,0.0022
20.3893,0.0022
20.3917,0.0022
20.3941,0.0022
20.3964,0.0022
20.3988,0.0022
20.4012,0.0022
20.4036,0.0022
20.4060,0.0022
20.4084,0.0022
20.4107,0.0021
20.4131,0.0019
20.4155,0.0018
20.4179,0.0020
20.4203,0.0018
20.4227,0.0018
20.4250,0.0018
20.4274,0.0020
20.4298,0.0019
20.4322,0.0021
20.4346,0.0022
20.4370,0.0022
20.4394,0.0022
20.4417,0.0022
20.4441,0.0022
20.4465,0.0022
20.4489,0.0022
20.4513,0.0022
20.4537,0.0022
20.4560,0.0022
20.4584,0.0022
20.4608,0.0022
20.4632,0.0022
20.4656,0.0022
20.4680,0.0022
20.4703,0.0022
20.4727,0.0022
20.4751,0.0022
20.4775,0.0022
20.4799,0.0022
20.4823,0.0022
20.4846,0.0022
20.4870,0.0022
20.4894,0.0022
20.4918,0.0022
20.4942,0.0022
20.4966,0.0022
