X, Y0
0.0000,0.0004
0.0086,0.0067
0.0171,0.0068
0.0257,0.0070
0.0343,0.0069
0.0428,0.0068
0.0514,0.0068
0.0600,0.0070
0.0685,0.0069
0.0771,0.0068
0.0857,0.0069
0.0942,0.0070
0.1028,0.0066
0.1114,0.0068
0.1199,0.0070
0.1285,0.0068
0.1371,0.0070
0.1456,0.0068
0.1542,0.0069
0.1628,0.0066
0.1713,0.0067
0.1799,0.0068
0.1884,0.0068
0.1970,0.0066
0.2056,0.0068
0.2141,0.0067
0.2227,0.0069
0.2313,0.0067
0.2398,0.0068
0.2484,0.0067
0.2570,0.0069
0.2655,0.0068
0.2741,0.0068
0.2827,0.0067
0.2912,0.0068
0.2998,0.0067
0.3084,0.0068
0.3169,0.0071
0.3255,0.0068
0.3341,0.0069
0.3426,0.0069
0.3512,0.0067
0.3598,0.0069
0.3683,0.0068
0.3769,0.0069
0.3855,0.0069
0.3940,0.0069
0.4026,0.0066
0.4112,0.0068
0.4197,0.0067
0.4283,0.0069
0.4369,0.0067
0.4454,0.0068
0.4540,0.0068
0.4626,0.0069
0.4711,0.0069
0.4797,0.0069
0.4883,0.0067
0.4968,0.0067
0.5054,0.0069
0.5139,0.0070
0.5225,0.0067
0.5311,0.0069
0.5396,0.0066
0.5482,0.0066
0.5568,0.0068
0.5653,0.0067
0.5739,0.0069
0.5825,0.0069
0.5910,0.0068
0.5996,0.0068
0.6082,0.0068
0.6167,0.0066
0.6253,0.0070
0.6339,0.0070
0.6424,0.0067
0.6510,0.0069
0.6596,0.0070
0.6681,0.0069
0.6767,0.0067
0.6853,0.0068
0.6938,0.0068
0.7024,0.0067
0.7110,0.0068
0.7195,0.0070
0.7281,0.0067
0.7367,0.0069
0.7452,0.0067
0.7538,0.0066
0.7624,0.0068
0.7709,0.0070
0.7795,0.0066
0.7881,0.0068
0.7966,0.0068
0.8052,0.0068
0.8138,0.0069
0.8223,0.0068
0.8309,0.0067
0.8394,0.0067
0.8480,0.0067
0.8566,0.0068
0.8651,0.0067
0.8737,0.0069
0.8823,0.0070
0.8908,0.0066
0.8994,0.0070
0.9080,0.0070
0.9165,0.0066
0.9251,0.0068
0.9337,0.0069
0.9422,0.0068
0.9508,0.0068
0.9594,0.0069
0.9679,0.0069
0.9765,0.0069
0.9851,0.0068
0.9936,0.0070
1.0022,0.0070
1.0108,0.0070
1.0193,0.0069
1.0279,0.0068
1.0365,0.0070
1.0450,0.0070
1.0536,0.0068
1.0622,0.0068
1.0707,0.0066
1.0793,0.0070
1.0879,0.0069
1.0964,0.0068
1.1050,0.0067
1.1136,0.0068
1.1221,0.0069
1.1307,0.0069
1.1393,0.0067
1.1478,0.0068
1.1564,0.0066
1.1649,0.0067
1.1735,0.0067
1.1821,0.0068
1.1906,0.0068
1.1992,0.0066
1.2078,0.0067
1.2163,0.0069
1.2249,0.0068
1.2335,0.0068
1.2420,0.0068
1.2506,0.0069
1.2592,0.0066
1.2677,0.0070
1.2763,0.0067
1.2849,0.0069
1.2934,0.0070
1.3020,0.0068
1.3106,0.0069
1.3191,0.0069
1.3277,0.0069
1.3363,0.0070
1.3448,0.0069
1.3534,0.0069
1.3620,0.0068
1.3705,0.0071
1.3791,0.0069
1.3877,0.0068
1.3962,0.0068
1.4048,0.0067
1.4134,0.0068
1.4219,0.0070
1.4305,0.0068
1.4391,0.0067
1.4476,0.0068
1.4562,0.0071
1.4648,0.0068
1.4733,0.0068
1.4819,0.0069
1.4905,0.0069
1.4990,0.0068
1.5076,0.0067
1.5161,0.0068
1.5247,0.0069
1.5333,0.0067
1.5418,0.0069
1.5504,0.0069
1.5590,0.0068
1.5675,0.0070
1.5761,0.0067
1.5847,0.0066
1.5932,0.0070
1.6018,0.0069
1.6104,0.0068
1.6189,0.0068
1.6275,0.0069
1.6361,0.0069
1.6446,0.0069
1.6532,0.0068
1.6618,0.0067
1.6703,0.0069
1.6789,0.0069
1.6875,0.0067
1.6960,0.0069
1.7046,0.0066
1.7132,0.0070
1.7217,0.0069
1.7303,0.0068
1.7389,0.0067
1.7474,0.0069
1.7560,0.0069
1.7646,0.0069
1.7731,0.0068
1.7817,0.0069
1.7903,0.0068
1.7988,0.0068
1.8074,0.0068
1.8160,0.0069
1.8245,0.0066
1.8331,0.0066
1.8416,0.0070
1.8502,0.0067
1.8588,0.0067
1.8673,0.0068
1.8759,0.0067
1.8845,0.0071
1.8930,0.0070
1.9016,0.0069
1.9102,0.0067
1.9187,0.0069
1.9273,0.0069
1.9359,0.0070
1.9444,0.0066
1.9530,0.0068
1.9616,0.0069
1.9701,0.0066
1.9787,0.0070
1.9873,0.0067
1.9958,0.0066
2.0044,0.0067
2.0130,0.0067
2.0215,0.0068
2.0301,0.0068
2.0387,0.0067
2.0472,0.0067
2.0558,0.0067
2.0644,0.0066
2.0729,0.0069
2.0815,0.0067
2.0901,0.0068
2.0986,0.0069
2.1072,0.0068
2.1158,0.0067
2.1243,0.0069
2.1329,0.0067
2.1415,0.0068
2.1500,0.0068
2.1586,0.0067
2.1671,0.0068
2.1757,0.0068
2.1843,0.0067
2.1928,0.0070
2.2014,0.0067
2.2100,0.0069
2.2185,0.0069
2.2271,0.0069
2.2357,0.0070
2.2442,0.0068
2.2528,0.0068
2.2614,0.0069
2.2699,0.0068
2.2785,0.0068
2.2871,0.0067
2.2956,0.0068
2.3042,0.0070
2.3128,0.0069
2.3213,0.0067
2.3299,0.0069
2.3385,0.0068
2.3470,0.0069
2.3556,0.0069
2.3642,0.0068
2.3727,0.0067
2.3813,0.0068
2.3899,0.0070
2.3984,0.0066
2.4070,0.0068
2.4156,0.0070
2.4241,0.0067
2.4327,0.0069
2.4413,0.0069
2.4498,0.0065
2.4584,0.0068
2.4670,0.0068
2.4755,0.0069
2.4841,0.0070
2.4926,0.0068
2.5012,0.0068
2.5098,0.0067
2.5183,0.0069
2.5269,0.0069
2.5355,0.0071
2.5440,0.0066
2.5526,0.0068
2.5612,0.0069
2.5697,0.0067
2.5783,0.0067
2.5869,0.0067
2.5954,0.0067
2.6040,0.0066
2.6126,0.0066
2.6211,0.0070
2.6297,0.0066
2.6383,0.0067
2.6468,0.0069
2.6554,0.0068
2.6640,0.0068
2.6725,0.0069
2.6811,0.0069
2.6897,0.0068
2.6982,0.0070
2.7068,0.0069
2.7154,0.0068
2.7239,0.0066
2.7325,0.0068
2.7411,0.0067
2.7496,0.0070
2.7582,0.0069
2.7668,0.0067
2.7753,0.0069
2.7839,0.0068
2.7925,0.0069
2.8010,0.0069
2.8096,0.0067
2.8182,0.0068
2.8267,0.0069
2.8353,0.0070
2.8438,0.0068
2.8524,0.0068
2.8610,0.0068
2.8695,0.0067
2.8781,0.0070
2.8867,0.0069
2.8952,0.0068
2.9038,0.0069
2.9124,0.0068
2.9209,0.0068
2.9295,0.0068
2.9381,0.0069
2.9466,0.0067
2.9552,0.0069
2.9638,0.0067
2.9723,0.0068
2.9809,0.0065
2.9895,0.0067
2.9980,0.0068
3.0066,0.0068
3.0152,0.0069
3.0237,0.0067
3.0323,0.0068
3.0409,0.0067
3.0494,0.0067
3.0580,0.0069
3.0666,0.0067
3.0751,0.0066
3.0837,0.0068
3.0923,0.0067
3.1008,0.0068
3.1094,0.0069
3.1180,0.0068
3.1265,0.0069
3.1351,0.0067
3.1437,0.0068
3.1522,0.0070
3.1608,0.0070
3.1693,0.0070
3.1779,0.0070
3.1865,0.0070
3.1950,0.0068
3.2036,0.0069
3.2122,0.0068
3.2207,0.0066
3.2293,0.0067
3.2379,0.0069
3.2464,0.0069
3.2550,0.0067
3.2636,0.0071
3.2721,0.0068
3.2807,0.0068
3.2893,0.0069
3.2978,0.0069
3.3064,0.0069
3.3150,0.0067
3.3235,0.0070
3.3321,0.0067
3.3407,0.0069
3.3492,0.0069
3.3578,0.0067
3.3664,0.0068
3.3749,0.0069
3.3835,0.0066
3.3921,0.0069
3.4006,0.0067
3.4092,0.0068
3.4178,0.0069
3.4263,0.0067
3.4349,0.0069
3.4435,0.0070
3.4520,0.0067
3.4606,0.0068
3.4692,0.0070
3.4777,0.0066
3.4863,0.0067
3.4948,0.0069
3.5034,0.0070
3.5120,0.0066
3.5205,0.0069
3.5291,0.0069
3.5377,0.0066
3.5462,0.0069
3.5548,0.0069
3.5634,0.0068
