Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
8.6000e-03,0.240313
8.6320e-03,0.24
8.6640e-03,0.239375
8.6960e-03,0.235625
8.7280e-03,0.224375
8.7600e-03,0.227813
8.7920e-03,0.213438
8.8240e-03,0.20875
8.8560e-03,0.20625
8.8880e-03,0.196875
8.9200e-03,0.190625
8.9520e-03,0.19375
8.9840e-03,0.189063
9.0160e-03,0.185
9.0480e-03,0.18375
9.0800e-03,0.173125
9.1120e-03,0.171563
9.1440e-03,0.170938
9.1760e-03,0.161875
9.2080e-03,0.16
9.2400e-03,0.16
9.2720e-03,0.16
9.3040e-03,0.16
9.3360e-03,0.16
9.3680e-03,0.159688
9.4000e-03,0.16
9.4320e-03,0.159688
9.4640e-03,0.16
9.4960e-03,0.160313
9.5280e-03,0.160313
9.5600e-03,0.154688
9.5920e-03,0.159688
9.6240e-03,0.159688
9.6560e-03,0.157813
9.6880e-03,0.157188
9.7200e-03,0.148438
9.7520e-03,0.150625
9.7840e-03,0.14375
9.8160e-03,0.144375
9.8480e-03,0.15
9.8800e-03,0.149688
9.9120e-03,0.143438
9.9440e-03,0.154063
9.9760e-03,0.15
1.0008e-02,0.1375
1.0040e-02,0.135938
1.0072e-02,0.140313
1.0104e-02,0.142188
1.0136e-02,0.135313
1.0168e-02,0.145938
1.0200e-02,0.14875
1.0232e-02,0.1375
1.0264e-02,0.135625
1.0296e-02,0.126875
1.0328e-02,0.136563
1.0360e-02,0.135
1.0392e-02,0.132813
1.0424e-02,0.142188
1.0456e-02,0.14375
1.0488e-02,0.139375
1.0520e-02,0.1375
1.0552e-02,0.136563
1.0584e-02,0.13375
1.0616e-02,0.139688
1.0648e-02,0.14
1.0680e-02,0.13125
1.0712e-02,0.136563
1.0744e-02,0.14
1.0776e-02,0.13125
1.0808e-02,0.135313
1.0840e-02,0.129375
1.0872e-02,0.125938
1.0904e-02,0.128125
1.0936e-02,0.128125
1.0968e-02,0.13375
1.1000e-02,0.1325
1.1032e-02,0.130625
1.1064e-02,0.13375
1.1096e-02,0.138125
1.1128e-02,0.135938
1.1160e-02,0.128438
1.1192e-02,0.131875
1.1224e-02,0.129375
1.1256e-02,0.1225
1.1288e-02,0.130938
1.1320e-02,0.125313
1.1352e-02,0.121875
1.1384e-02,0.124375
1.1416e-02,0.12375
1.1448e-02,0.121875
1.1480e-02,0.11875
1.1512e-02,0.125313
1.1544e-02,0.125625
1.1576e-02,0.122188
1.1608e-02,0.117813
1.1640e-02,0.125625
1.1672e-02,0.12375
1.1704e-02,0.123125
1.1736e-02,0.12375
1.1768e-02,0.13125
1.1800e-02,0.130625
1.1832e-02,0.1325
1.1864e-02,0.128125
1.1896e-02,0.12625
1.1928e-02,0.132813
1.1960e-02,0.123125
1.1992e-02,0.127813
1.2024e-02,0.123438
1.2056e-02,0.125938
1.2088e-02,0.123125
1.2120e-02,0.116563
1.2152e-02,0.116875
1.2184e-02,0.118438
1.2216e-02,0.12375
1.2248e-02,0.128438
1.2280e-02,0.127813
1.2312e-02,0.120625
1.2344e-02,0.125313
1.2376e-02,0.130313
1.2408e-02,0.1325
1.2440e-02,0.129375
1.2472e-02,0.12125
1.2504e-02,0.116563
1.2536e-02,0.119375
1.2568e-02,0.123438
1.2600e-02,0.126875
1.2632e-02,0.1175
1.2664e-02,0.125
1.2696e-02,0.122188
1.2728e-02,0.120313
1.2760e-02,0.115938
1.2792e-02,0.124375
1.2824e-02,0.113438
1.2856e-02,0.114375
1.2888e-02,0.115
1.2920e-02,0.123438
1.2952e-02,0.124063
1.2984e-02,0.123125
1.3016e-02,0.121563
1.3048e-02,0.115938
1.3080e-02,0.118438
1.3112e-02,0.120938
1.3144e-02,0.1225
1.3176e-02,0.118438
1.3208e-02,0.11875
1.3240e-02,0.120938
1.3272e-02,0.115938
1.3304e-02,0.114375
1.3336e-02,0.116875
1.3368e-02,0.120625
1.3400e-02,0.127188
1.3432e-02,0.136563
1.3464e-02,0.127813
1.3496e-02,0.127188
1.3528e-02,0.127188
1.3560e-02,0.122188
1.3592e-02,0.123438
1.3624e-02,0.127813
1.3656e-02,0.1225
1.3688e-02,0.135313
1.3720e-02,0.130625
1.3752e-02,0.1375
1.3784e-02,0.125938
1.3816e-02,0.122188
1.3848e-02,0.118125
1.3880e-02,0.118438
1.3912e-02,0.113125
1.3944e-02,0.121563
1.3976e-02,0.115313
1.4008e-02,0.12
1.4040e-02,0.124375
1.4072e-02,0.122188
1.4104e-02,0.11625
1.4136e-02,0.123438
1.4168e-02,0.12125
1.4200e-02,0.1225
1.4232e-02,0.130313
1.4264e-02,0.125625
1.4296e-02,0.13
1.4328e-02,0.123438
1.4360e-02,0.124375
1.4392e-02,0.110625
1.4424e-02,0.111563
1.4456e-02,0.110625
1.4488e-02,0.111563
1.4520e-02,0.11875
1.4552e-02,0.1125
1.4584e-02,0.111875
1.4616e-02,0.115625
1.4648e-02,0.120625
1.4680e-02,0.1225
1.4712e-02,0.12
1.4744e-02,0.120313
1.4776e-02,0.11375
1.4808e-02,0.122813
1.4840e-02,0.121563
1.4872e-02,0.123438
1.4904e-02,0.120938
1.4936e-02,0.112813
1.4968e-02,0.117188
1.5000e-02,0.12125
1.5032e-02,0.122188
1.5064e-02,0.116563
1.5096e-02,0.114063
1.5128e-02,0.112188
1.5160e-02,0.11875
1.5192e-02,0.12
1.5224e-02,0.119375
1.5256e-02,0.120625
1.5288e-02,0.1225
1.5320e-02,0.116875
1.5352e-02,0.114063
1.5384e-02,0.111563
1.5416e-02,0.109375
1.5448e-02,0.11375
1.5480e-02,0.116875
1.5512e-02,0.117813
1.5544e-02,0.120313
1.5576e-02,0.123125
1.5608e-02,0.120625
1.5640e-02,0.12375
1.5672e-02,0.126875
1.5704e-02,0.126875
1.5736e-02,0.122813
1.5768e-02,0.125938
1.5800e-02,0.12875
1.5832e-02,0.128438
1.5864e-02,0.125625
1.5896e-02,0.12
1.5928e-02,0.116875
1.5960e-02,0.124688
1.5992e-02,0.121875
1.6024e-02,0.128125
1.6056e-02,0.120313
1.6088e-02,0.121563
1.6120e-02,0.11625
1.6152e-02,0.114063
1.6184e-02,0.116563
1.6216e-02,0.116875
1.6248e-02,0.116875
1.6280e-02,0.1175
1.6312e-02,0.114063
1.6344e-02,0.117813
1.6376e-02,0.125938
1.6408e-02,0.123125
1.6440e-02,0.118438
1.6472e-02,0.124063
1.6504e-02,0.12625
1.6536e-02,0.124688
1.6568e-02,0.12875
1.6600e-02,0.12875
1.6632e-02,0.124063
1.6664e-02,0.128438
1.6696e-02,0.1275
1.6728e-02,0.126563
1.6760e-02,0.129688
1.6792e-02,0.122813
1.6824e-02,0.124375
1.6856e-02,0.127813
1.6888e-02,0.12125
1.6920e-02,0.12
1.6952e-02,0.116875
1.6984e-02,0.115
1.7016e-02,0.124375
1.7048e-02,0.12625
1.7080e-02,0.128125
1.7112e-02,0.1275
1.7144e-02,0.125938
1.7176e-02,0.119688
1.7208e-02,0.120938
1.7240e-02,0.128438
1.7272e-02,0.123125
1.7304e-02,0.121563
1.7336e-02,0.130938
1.7368e-02,0.12375
1.7400e-02,0.127188
1.7432e-02,0.125938
1.7464e-02,0.124063
1.7496e-02,0.119063
1.7528e-02,0.120625
1.7560e-02,0.12125
