Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
7.2400e-03,1.04656
7.2720e-03,1.055
7.3040e-03,1.05203
7.3360e-03,1.06953
7.3680e-03,1.07141
7.4000e-03,1.08781
7.4320e-03,1.08672
7.4640e-03,1.10266
7.4960e-03,1.10438
7.5280e-03,1.09266
7.5600e-03,1.09031
7.5920e-03,1.09875
7.6240e-03,1.08562
7.6560e-03,1.0825
7.6880e-03,1.08094
7.7200e-03,1.0775
7.7520e-03,1.07828
7.7840e-03,1.07656
7.8160e-03,1.09016
7.8480e-03,1.08328
7.8800e-03,1.07437
7.9120e-03,1.05891
7.9440e-03,1.05313
7.9760e-03,1.05
8.0080e-03,1.05516
8.0400e-03,1.0525
8.0720e-03,1.04469
8.1040e-03,1.04125
8.1360e-03,1.03313
8.1680e-03,1.01484
8.2000e-03,1.01266
8.2320e-03,1.00719
8.2640e-03,0.990937
8.2960e-03,0.989844
8.3280e-03,0.9925
8.3600e-03,0.974375
8.3920e-03,0.953437
8.4240e-03,0.934375
8.4560e-03,0.922813
8.4880e-03,0.8975
8.5200e-03,0.893438
8.5520e-03,0.875312
8.5840e-03,0.871094
8.6160e-03,0.855781
8.6480e-03,0.847812
8.6800e-03,0.812187
8.7120e-03,0.811875
8.7440e-03,0.807344
8.7760e-03,0.789844
8.8080e-03,0.779688
8.8400e-03,0.772969
8.8720e-03,0.755625
8.9040e-03,0.747344
8.9360e-03,0.735625
8.9680e-03,0.718437
9.0000e-03,0.714531
9.0320e-03,0.7
9.0640e-03,0.691094
9.0960e-03,0.680469
9.1280e-03,0.670156
9.1600e-03,0.655
9.1920e-03,0.653281
9.2240e-03,0.655156
9.2560e-03,0.645625
9.2880e-03,0.639063
9.3200e-03,0.621563
9.3520e-03,0.62
9.3840e-03,0.609687
9.4160e-03,0.607656
9.4480e-03,0.613125
9.4800e-03,0.614062
9.5120e-03,0.594531
9.5440e-03,0.585469
9.5760e-03,0.582344
9.6080e-03,0.582344
9.6400e-03,0.579219
9.6720e-03,0.577187
9.7040e-03,0.5825
9.7360e-03,0.576719
9.7680e-03,0.571094
9.8000e-03,0.559219
9.8320e-03,0.553594
9.8640e-03,0.538438
9.8960e-03,0.540469
9.9280e-03,0.538906
9.9600e-03,0.539062
9.9920e-03,0.534219
1.0024e-02,0.534531
1.0056e-02,0.538125
1.0088e-02,0.523438
1.0120e-02,0.530469
1.0152e-02,0.514844
1.0184e-02,0.508125
1.0216e-02,0.508437
1.0248e-02,0.511406
1.0280e-02,0.519219
1.0312e-02,0.525625
1.0344e-02,0.532812
1.0376e-02,0.542031
1.0408e-02,0.549062
1.0440e-02,0.556094
1.0472e-02,0.564219
1.0504e-02,0.573906
1.0536e-02,0.572969
1.0568e-02,0.587344
1.0600e-02,0.6025
1.0632e-02,0.631562
1.0664e-02,0.665156
1.0696e-02,0.694219
1.0728e-02,0.722187
1.0760e-02,0.742031
1.0792e-02,0.760625
1.0824e-02,0.788125
1.0856e-02,0.83375
1.0888e-02,0.871563
1.0920e-02,0.922969
1.0952e-02,0.975469
1.0984e-02,1.03125
1.1016e-02,1.09906
1.1048e-02,1.17312
1.1080e-02,1.24734
1.1112e-02,1.325
1.1144e-02,1.37875
1.1176e-02,1.44797
1.1208e-02,1.52
1.1240e-02,1.58922
1.1272e-02,1.66922
1.1304e-02,1.76484
1.1336e-02,1.85188
1.1368e-02,1.9425
1.1400e-02,2.05922
1.1432e-02,2.15859
1.1464e-02,2.2575
1.1496e-02,2.36578
1.1528e-02,2.48297
1.1560e-02,2.60234
1.1592e-02,2.68172
1.1624e-02,2.77562
1.1656e-02,2.87719
1.1688e-02,2.97109
1.1720e-02,3.05187
1.1752e-02,3.10406
1.1784e-02,3.19859
1.1816e-02,3.27219
1.1848e-02,3.32844
1.1880e-02,3.39156
1.1912e-02,3.41266
1.1944e-02,3.41625
1.1976e-02,3.44203
1.2008e-02,3.44734
1.2040e-02,3.41562
1.2072e-02,3.39469
1.2104e-02,3.33422
1.2136e-02,3.30344
1.2168e-02,3.24625
1.2200e-02,3.185
1.2232e-02,3.10594
1.2264e-02,3.00516
1.2296e-02,2.91391
1.2328e-02,2.80656
1.2360e-02,2.69766
1.2392e-02,2.55969
1.2424e-02,2.43656
1.2456e-02,2.30687
1.2488e-02,2.17938
1.2520e-02,2.05922
1.2552e-02,1.93
1.2584e-02,1.82344
1.2616e-02,1.69953
1.2648e-02,1.58078
1.2680e-02,1.47953
1.2712e-02,1.38109
1.2744e-02,1.28547
1.2776e-02,1.19234
1.2808e-02,1.11391
1.2840e-02,1.04969
1.2872e-02,0.974063
1.2904e-02,0.909063
1.2936e-02,0.870312
1.2968e-02,0.827969
1.3000e-02,0.769687
1.3032e-02,0.726719
1.3064e-02,0.688594
1.3096e-02,0.669844
1.3128e-02,0.63875
1.3160e-02,0.615937
1.3192e-02,0.600938
1.3224e-02,0.583906
1.3256e-02,0.575156
1.3288e-02,0.573906
1.3320e-02,0.555625
1.3352e-02,0.550781
1.3384e-02,0.540781
1.3416e-02,0.54
1.3448e-02,0.542344
1.3480e-02,0.536719
1.3512e-02,0.526406
1.3544e-02,0.535937
1.3576e-02,0.524687
1.3608e-02,0.544687
1.3640e-02,0.562187
1.3672e-02,0.5875
1.3704e-02,0.592031
1.3736e-02,0.610781
1.3768e-02,0.640312
1.3800e-02,0.661406
1.3832e-02,0.690937
1.3864e-02,0.728125
1.3896e-02,0.768438
1.3928e-02,0.820625
1.3960e-02,0.865781
1.3992e-02,0.910312
1.4024e-02,0.98
1.4056e-02,1.06422
1.4088e-02,1.13813
1.4120e-02,1.22797
1.4152e-02,1.30547
1.4184e-02,1.39391
1.4216e-02,1.49609
1.4248e-02,1.59609
1.4280e-02,1.68547
1.4312e-02,1.77875
1.4344e-02,1.87078
1.4376e-02,1.96609
1.4408e-02,2.03719
1.4440e-02,2.10984
1.4472e-02,2.17625
1.4504e-02,2.23937
1.4536e-02,2.32156
1.4568e-02,2.36609
1.4600e-02,2.41531
1.4632e-02,2.44172
1.4664e-02,2.46859
1.4696e-02,2.47469
1.4728e-02,2.47
1.4760e-02,2.43156
1.4792e-02,2.41266
1.4824e-02,2.37859
1.4856e-02,2.31062
1.4888e-02,2.26469
1.4920e-02,2.21625
1.4952e-02,2.13125
1.4984e-02,2.02453
1.5016e-02,1.93469
1.5048e-02,1.86984
1.5080e-02,1.77687
1.5112e-02,1.69281
1.5144e-02,1.5925
1.5176e-02,1.51187
1.5208e-02,1.43063
1.5240e-02,1.37438
1.5272e-02,1.28687
1.5304e-02,1.21516
1.5336e-02,1.17203
1.5368e-02,1.12688
1.5400e-02,1.08312
1.5432e-02,1.04906
1.5464e-02,1.00891
1.5496e-02,0.975156
1.5528e-02,0.954063
1.5560e-02,0.942813
1.5592e-02,0.930312
1.5624e-02,0.915469
1.5656e-02,0.905156
1.5688e-02,0.912187
1.5720e-02,0.909844
1.5752e-02,0.933906
1.5784e-02,0.936406
1.5816e-02,0.962656
1.5848e-02,0.976562
1.5880e-02,0.988594
1.5912e-02,1.00578
1.5944e-02,1.01063
1.5976e-02,1.04094
1.6008e-02,1.05406
1.6040e-02,1.08047
1.6072e-02,1.10547
1.6104e-02,1.12187
1.6136e-02,1.14312
1.6168e-02,1.155
