Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
7.2400e-03,0.0867187
7.2720e-03,0.0879687
7.3040e-03,0.0917969
7.3360e-03,0.0978906
7.3680e-03,0.0936719
7.4000e-03,0.0908594
7.4320e-03,0.090625
7.4640e-03,0.0891406
7.4960e-03,0.0882812
7.5280e-03,0.0875
7.5600e-03,0.0895313
7.5920e-03,0.09
7.6240e-03,0.0902344
7.6560e-03,0.0880469
7.6880e-03,0.0885938
7.7200e-03,0.0903906
7.7520e-03,0.0890625
7.7840e-03,0.0880469
7.8160e-03,0.0867969
7.8480e-03,0.0866406
7.8800e-03,0.0877344
7.9120e-03,0.089375
7.9440e-03,0.09125
7.9760e-03,0.0900781
8.0080e-03,0.0896875
8.0400e-03,0.0871875
8.0720e-03,0.0886719
8.1040e-03,0.0851563
8.1360e-03,0.08875
8.1680e-03,0.0911719
8.2000e-03,0.0947656
8.2320e-03,0.0978906
8.2640e-03,0.0996094
8.2960e-03,0.0957812
8.3280e-03,0.0954687
8.3600e-03,0.0908594
8.3920e-03,0.0963281
8.4240e-03,0.0959375
8.4560e-03,0.0941406
8.4880e-03,0.0910156
8.5200e-03,0.0989062
8.5520e-03,0.0971875
8.5840e-03,0.0975
8.6160e-03,0.102891
8.6480e-03,0.101484
8.6800e-03,0.101719
8.7120e-03,0.107187
8.7440e-03,0.108281
8.7760e-03,0.106797
8.8080e-03,0.107266
8.8400e-03,0.110625
8.8720e-03,0.11125
8.9040e-03,0.115625
8.9360e-03,0.11625
8.9680e-03,0.113594
9.0000e-03,0.11125
9.0320e-03,0.112109
9.0640e-03,0.112734
9.0960e-03,0.114375
9.1280e-03,0.124219
9.1600e-03,0.124531
9.1920e-03,0.124609
9.2240e-03,0.127578
9.2560e-03,0.128281
9.2880e-03,0.131406
9.3200e-03,0.138281
9.3520e-03,0.137891
9.3840e-03,0.149766
9.4160e-03,0.150859
9.4480e-03,0.156016
9.4800e-03,0.159922
9.5120e-03,0.159062
9.5440e-03,0.165156
9.5760e-03,0.171484
9.6080e-03,0.180391
9.6400e-03,0.187578
9.6720e-03,0.191172
9.7040e-03,0.197734
9.7360e-03,0.213906
9.7680e-03,0.215391
9.8000e-03,0.228906
9.8320e-03,0.231875
9.8640e-03,0.238906
9.8960e-03,0.252891
9.9280e-03,0.253672
9.9600e-03,0.262344
9.9920e-03,0.275156
1.0024e-02,0.275156
1.0056e-02,0.288437
1.0088e-02,0.301016
1.0120e-02,0.303359
1.0152e-02,0.310547
1.0184e-02,0.316641
1.0216e-02,0.335469
1.0248e-02,0.342344
1.0280e-02,0.349531
1.0312e-02,0.353125
1.0344e-02,0.362734
1.0376e-02,0.364141
1.0408e-02,0.36
1.0440e-02,0.368828
1.0472e-02,0.369375
1.0504e-02,0.370078
1.0536e-02,0.366094
1.0568e-02,0.363203
1.0600e-02,0.364609
1.0632e-02,0.360703
1.0664e-02,0.354609
1.0696e-02,0.348203
1.0728e-02,0.351875
1.0760e-02,0.346797
1.0792e-02,0.346328
1.0824e-02,0.326875
1.0856e-02,0.315469
1.0888e-02,0.3075
1.0920e-02,0.303828
1.0952e-02,0.292344
1.0984e-02,0.278906
1.1016e-02,0.258984
1.1048e-02,0.247734
1.1080e-02,0.247578
1.1112e-02,0.245391
1.1144e-02,0.237109
1.1176e-02,0.227266
1.1208e-02,0.225937
1.1240e-02,0.234063
1.1272e-02,0.229375
1.1304e-02,0.225156
1.1336e-02,0.219453
1.1368e-02,0.218828
1.1400e-02,0.212969
1.1432e-02,0.211172
1.1464e-02,0.208906
1.1496e-02,0.213516
1.1528e-02,0.213203
1.1560e-02,0.2175
1.1592e-02,0.2225
1.1624e-02,0.22375
1.1656e-02,0.227266
1.1688e-02,0.230234
1.1720e-02,0.238125
1.1752e-02,0.236094
1.1784e-02,0.242031
1.1816e-02,0.239062
1.1848e-02,0.234766
1.1880e-02,0.248828
1.1912e-02,0.254766
1.1944e-02,0.262266
1.1976e-02,0.262812
1.2008e-02,0.266719
1.2040e-02,0.272031
1.2072e-02,0.277266
1.2104e-02,0.291094
1.2136e-02,0.295781
1.2168e-02,0.299297
1.2200e-02,0.315937
1.2232e-02,0.330469
1.2264e-02,0.347187
1.2296e-02,0.356875
1.2328e-02,0.375703
1.2360e-02,0.396172
1.2392e-02,0.405
1.2424e-02,0.425937
1.2456e-02,0.464375
1.2488e-02,0.509297
1.2520e-02,0.539453
1.2552e-02,0.583125
1.2584e-02,0.615938
1.2616e-02,0.655312
1.2648e-02,0.697188
1.2680e-02,0.743437
1.2712e-02,0.789453
1.2744e-02,0.829453
1.2776e-02,0.877969
1.2808e-02,0.943984
1.2840e-02,0.979453
1.2872e-02,1.04414
1.2904e-02,1.07937
1.2936e-02,1.13906
1.2968e-02,1.18906
1.3000e-02,1.24219
1.3032e-02,1.29742
1.3064e-02,1.33297
1.3096e-02,1.37547
1.3128e-02,1.42539
1.3160e-02,1.43289
1.3192e-02,1.47266
1.3224e-02,1.44836
1.3256e-02,1.47023
1.3288e-02,1.46656
1.3320e-02,1.4707
1.3352e-02,1.46914
1.3384e-02,1.48469
1.3416e-02,1.45
1.3448e-02,1.42219
1.3480e-02,1.36789
1.3512e-02,1.3307
1.3544e-02,1.28422
1.3576e-02,1.25891
1.3608e-02,1.22797
1.3640e-02,1.17906
1.3672e-02,1.13148
1.3704e-02,1.08648
1.3736e-02,1.01859
1.3768e-02,0.961016
1.3800e-02,0.919922
1.3832e-02,0.8725
1.3864e-02,0.839375
1.3896e-02,0.794297
1.3928e-02,0.751328
1.3960e-02,0.718906
1.3992e-02,0.681328
1.4024e-02,0.663594
1.4056e-02,0.642344
1.4088e-02,0.619844
1.4120e-02,0.597578
1.4152e-02,0.5825
1.4184e-02,0.567734
1.4216e-02,0.565937
1.4248e-02,0.569375
1.4280e-02,0.56125
1.4312e-02,0.559375
1.4344e-02,0.552344
1.4376e-02,0.554297
1.4408e-02,0.553828
1.4440e-02,0.560469
1.4472e-02,0.576875
1.4504e-02,0.578125
1.4536e-02,0.595859
1.4568e-02,0.600859
1.4600e-02,0.620234
1.4632e-02,0.629453
1.4664e-02,0.637422
1.4696e-02,0.644453
1.4728e-02,0.663594
1.4760e-02,0.688047
1.4792e-02,0.701094
1.4824e-02,0.700781
1.4856e-02,0.719297
1.4888e-02,0.733594
1.4920e-02,0.761875
1.4952e-02,0.780781
1.4984e-02,0.790156
1.5016e-02,0.812891
1.5048e-02,0.834141
1.5080e-02,0.838828
1.5112e-02,0.848984
1.5144e-02,0.880469
1.5176e-02,0.898672
1.5208e-02,0.955547
1.5240e-02,1.00203
1.5272e-02,1.0443
1.5304e-02,1.10734
1.5336e-02,1.1718
1.5368e-02,1.22789
1.5400e-02,1.29312
1.5432e-02,1.37414
1.5464e-02,1.4507
1.5496e-02,1.56414
1.5528e-02,1.63305
1.5560e-02,1.70906
1.5592e-02,1.79461
1.5624e-02,1.85844
1.5656e-02,1.95531
1.5688e-02,2.04391
1.5720e-02,2.10984
1.5752e-02,2.17547
1.5784e-02,2.23945
1.5816e-02,2.27227
1.5848e-02,2.27312
1.5880e-02,2.27711
1.5912e-02,2.28328
1.5944e-02,2.28094
1.5976e-02,2.26195
1.6008e-02,2.23594
1.6040e-02,2.1925
1.6072e-02,2.13758
