Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
7.2400e-03,0.317344
7.2720e-03,0.328359
7.3040e-03,0.329531
7.3360e-03,0.325156
7.3680e-03,0.32625
7.4000e-03,0.33
7.4320e-03,0.327969
7.4640e-03,0.326562
7.4960e-03,0.324219
7.5280e-03,0.328516
7.5600e-03,0.327578
7.5920e-03,0.317813
7.6240e-03,0.323906
7.6560e-03,0.319687
7.6880e-03,0.320625
7.7200e-03,0.316172
7.7520e-03,0.316719
7.7840e-03,0.310937
7.8160e-03,0.310547
7.8480e-03,0.317266
7.8800e-03,0.320469
7.9120e-03,0.312266
7.9440e-03,0.315859
7.9760e-03,0.315703
8.0080e-03,0.32
8.0400e-03,0.312969
8.0720e-03,0.308906
8.1040e-03,0.311016
8.1360e-03,0.31
8.1680e-03,0.310781
8.2000e-03,0.314609
8.2320e-03,0.311797
8.2640e-03,0.313281
8.2960e-03,0.313594
8.3280e-03,0.316484
8.3600e-03,0.315703
8.3920e-03,0.310078
8.4240e-03,0.306953
8.4560e-03,0.309141
8.4880e-03,0.30875
8.5200e-03,0.310625
8.5520e-03,0.31125
8.5840e-03,0.309297
8.6160e-03,0.316797
8.6480e-03,0.316406
8.6800e-03,0.318125
8.7120e-03,0.311562
8.7440e-03,0.316641
8.7760e-03,0.312188
8.8080e-03,0.306875
8.8400e-03,0.304609
8.8720e-03,0.3025
8.9040e-03,0.316484
8.9360e-03,0.315781
8.9680e-03,0.324766
9.0000e-03,0.330703
9.0320e-03,0.331172
9.0640e-03,0.334219
9.0960e-03,0.343203
9.1280e-03,0.346484
9.1600e-03,0.350625
9.1920e-03,0.355938
9.2240e-03,0.367188
9.2560e-03,0.374453
9.2880e-03,0.386641
9.3200e-03,0.395469
9.3520e-03,0.399844
9.3840e-03,0.403906
9.4160e-03,0.415781
9.4480e-03,0.425937
9.4800e-03,0.439297
9.5120e-03,0.457578
9.5440e-03,0.468672
9.5760e-03,0.476875
9.6080e-03,0.503281
9.6400e-03,0.510312
9.6720e-03,0.534453
9.7040e-03,0.558203
9.7360e-03,0.584766
9.7680e-03,0.617969
9.8000e-03,0.64
9.8320e-03,0.667266
9.8640e-03,0.692109
9.8960e-03,0.717812
9.9280e-03,0.756953
9.9600e-03,0.786094
9.9920e-03,0.81375
1.0024e-02,0.849219
1.0056e-02,0.882656
1.0088e-02,0.910234
1.0120e-02,0.95125
1.0152e-02,0.990781
1.0184e-02,1.02578
1.0216e-02,1.07414
1.0248e-02,1.13055
1.0280e-02,1.18297
1.0312e-02,1.22641
1.0344e-02,1.25211
1.0376e-02,1.30164
1.0408e-02,1.34367
1.0440e-02,1.40023
1.0472e-02,1.42984
1.0504e-02,1.47578
1.0536e-02,1.52
1.0568e-02,1.56734
1.0600e-02,1.60406
1.0632e-02,1.62695
1.0664e-02,1.66602
1.0696e-02,1.70211
1.0728e-02,1.72914
1.0760e-02,1.74172
1.0792e-02,1.7882
1.0824e-02,1.77539
1.0856e-02,1.78094
1.0888e-02,1.79594
1.0920e-02,1.81969
1.0952e-02,1.82664
1.0984e-02,1.82398
1.1016e-02,1.80461
1.1048e-02,1.7632
1.1080e-02,1.74664
1.1112e-02,1.7382
1.1144e-02,1.70953
1.1176e-02,1.66133
1.1208e-02,1.59813
1.1240e-02,1.55
1.1272e-02,1.50344
1.1304e-02,1.46141
1.1336e-02,1.39719
1.1368e-02,1.34398
1.1400e-02,1.28789
1.1432e-02,1.22352
1.1464e-02,1.16633
1.1496e-02,1.11797
1.1528e-02,1.05383
1.1560e-02,0.997187
1.1592e-02,0.935859
1.1624e-02,0.871719
1.1656e-02,0.811172
1.1688e-02,0.762578
1.1720e-02,0.721094
1.1752e-02,0.672031
1.1784e-02,0.626953
1.1816e-02,0.576641
1.1848e-02,0.533047
1.1880e-02,0.494687
1.1912e-02,0.456875
1.1944e-02,0.418984
1.1976e-02,0.395
1.2008e-02,0.3725
1.2040e-02,0.344609
1.2072e-02,0.318359
1.2104e-02,0.29625
1.2136e-02,0.283125
1.2168e-02,0.260469
1.2200e-02,0.240859
1.2232e-02,0.222656
1.2264e-02,0.209922
1.2296e-02,0.202813
1.2328e-02,0.184063
1.2360e-02,0.169766
1.2392e-02,0.161328
1.2424e-02,0.158438
1.2456e-02,0.14875
1.2488e-02,0.148672
1.2520e-02,0.142422
1.2552e-02,0.132969
1.2584e-02,0.128516
1.2616e-02,0.128281
1.2648e-02,0.124141
1.2680e-02,0.1225
1.2712e-02,0.1125
1.2744e-02,0.113203
1.2776e-02,0.113437
1.2808e-02,0.110313
1.2840e-02,0.110469
1.2872e-02,0.106875
1.2904e-02,0.108359
1.2936e-02,0.102344
1.2968e-02,0.108047
1.3000e-02,0.10375
1.3032e-02,0.0973438
1.3064e-02,0.100703
1.3096e-02,0.0965625
1.3128e-02,0.0945312
1.3160e-02,0.0896875
1.3192e-02,0.0902344
1.3224e-02,0.0921875
1.3256e-02,0.0902344
1.3288e-02,0.0902344
1.3320e-02,0.09
1.3352e-02,0.0903906
1.3384e-02,0.0905469
1.3416e-02,0.0900781
1.3448e-02,0.0900781
1.3480e-02,0.0898438
1.3512e-02,0.0895313
1.3544e-02,0.0854687
1.3576e-02,0.0858594
1.3608e-02,0.08875
1.3640e-02,0.0889062
1.3672e-02,0.0899219
1.3704e-02,0.0859375
1.3736e-02,0.0877344
1.3768e-02,0.0836719
1.3800e-02,0.081875
1.3832e-02,0.0842188
1.3864e-02,0.0827344
1.3896e-02,0.0858594
1.3928e-02,0.0845312
1.3960e-02,0.0842188
1.3992e-02,0.0813281
1.4024e-02,0.0794531
1.4056e-02,0.0823437
1.4088e-02,0.08625
1.4120e-02,0.0879687
1.4152e-02,0.0886719
1.4184e-02,0.0892187
1.4216e-02,0.0859375
1.4248e-02,0.0821094
1.4280e-02,0.079375
1.4312e-02,0.0736719
1.4344e-02,0.0754687
1.4376e-02,0.0724219
1.4408e-02,0.0702344
1.4440e-02,0.0707031
1.4472e-02,0.0753906
1.4504e-02,0.0753125
1.4536e-02,0.0735156
1.4568e-02,0.0719531
1.4600e-02,0.0742969
1.4632e-02,0.0747656
1.4664e-02,0.0760156
1.4696e-02,0.0777344
1.4728e-02,0.0769531
1.4760e-02,0.0758594
1.4792e-02,0.0714062
1.4824e-02,0.0699219
1.4856e-02,0.0700781
1.4888e-02,0.07125
1.4920e-02,0.0750781
1.4952e-02,0.0714844
1.4984e-02,0.0711719
1.5016e-02,0.0698437
1.5048e-02,0.0703125
1.5080e-02,0.070625
1.5112e-02,0.0703125
1.5144e-02,0.0702344
1.5176e-02,0.07
1.5208e-02,0.0701562
1.5240e-02,0.0728906
1.5272e-02,0.0723437
1.5304e-02,0.0739063
1.5336e-02,0.0735937
1.5368e-02,0.07
1.5400e-02,0.0699219
1.5432e-02,0.07125
1.5464e-02,0.0716406
1.5496e-02,0.0709375
1.5528e-02,0.0711719
1.5560e-02,0.073125
1.5592e-02,0.0770312
1.5624e-02,0.0804687
1.5656e-02,0.0726562
1.5688e-02,0.0719531
1.5720e-02,0.0723437
1.5752e-02,0.0717188
1.5784e-02,0.0710156
1.5816e-02,0.07125
1.5848e-02,0.0717188
1.5880e-02,0.0710156
1.5912e-02,0.0703906
1.5944e-02,0.0714062
1.5976e-02,0.0719531
