Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
9.8400e-03,0.0495781
9.8720e-03,0.0497656
9.9040e-03,0.0527344
9.9360e-03,0.0521094
9.9680e-03,0.0544688
1.0000e-02,0.0548125
1.0032e-02,0.055375
1.0064e-02,0.0567813
1.0096e-02,0.0569844
1.0128e-02,0.0571406
1.0160e-02,0.0564375
1.0192e-02,0.0608438
1.0224e-02,0.0588281
1.0256e-02,0.0626719
1.0288e-02,0.0651094
1.0320e-02,0.0639375
1.0352e-02,0.0633281
1.0384e-02,0.06725
1.0416e-02,0.0668906
1.0448e-02,0.0685625
1.0480e-02,0.0723125
1.0512e-02,0.0726094
1.0544e-02,0.0759063
1.0576e-02,0.0754844
1.0608e-02,0.0759531
1.0640e-02,0.0769844
1.0672e-02,0.0796875
1.0704e-02,0.0786094
1.0736e-02,0.0828125
1.0768e-02,0.0830625
1.0800e-02,0.0851875
1.0832e-02,0.0855
1.0864e-02,0.085125
1.0896e-02,0.0840156
1.0928e-02,0.0825469
1.0960e-02,0.07875
1.0992e-02,0.0789844
1.1024e-02,0.0798125
1.1056e-02,0.0780938
1.1088e-02,0.0781406
1.1120e-02,0.0795156
1.1152e-02,0.0784531
1.1184e-02,0.0741875
1.1216e-02,0.0740625
1.1248e-02,0.0735938
1.1280e-02,0.0713438
1.1312e-02,0.0670781
1.1344e-02,0.0637188
1.1376e-02,0.0647031
1.1408e-02,0.0612344
1.1440e-02,0.0588281
1.1472e-02,0.0547813
1.1504e-02,0.0540313
1.1536e-02,0.0503906
1.1568e-02,0.0508281
1.1600e-02,0.0492344
1.1632e-02,0.0474531
1.1664e-02,0.0473906
1.1696e-02,0.0444375
1.1728e-02,0.0419375
1.1760e-02,0.0407969
1.1792e-02,0.0410781
1.1824e-02,0.04225
1.1856e-02,0.0426875
1.1888e-02,0.0387344
1.1920e-02,0.0380938
1.1952e-02,0.0372188
1.1984e-02,0.0386094
1.2016e-02,0.0395938
1.2048e-02,0.0390938
1.2080e-02,0.0370781
1.2112e-02,0.0354063
1.2144e-02,0.0331094
1.2176e-02,0.0332188
1.2208e-02,0.0327813
1.2240e-02,0.0349688
1.2272e-02,0.0344063
1.2304e-02,0.034625
1.2336e-02,0.0340938
1.2368e-02,0.0351719
1.2400e-02,0.0335781
1.2432e-02,0.0318906
1.2464e-02,0.0318281
1.2496e-02,0.0328438
1.2528e-02,0.0334531
1.2560e-02,0.0355
1.2592e-02,0.0347969
1.2624e-02,0.0343281
1.2656e-02,0.0354688
1.2688e-02,0.036875
1.2720e-02,0.03725
1.2752e-02,0.0366094
1.2784e-02,0.0353594
1.2816e-02,0.0344688
1.2848e-02,0.0358438
1.2880e-02,0.0370469
1.2912e-02,0.0349688
1.2944e-02,0.0350313
1.2976e-02,0.0339219
1.3008e-02,0.0346719
1.3040e-02,0.0359531
1.3072e-02,0.0359375
1.3104e-02,0.0360469
1.3136e-02,0.0360469
1.3168e-02,0.0344063
1.3200e-02,0.0356094
1.3232e-02,0.0352344
1.3264e-02,0.0359375
1.3296e-02,0.0357188
1.3328e-02,0.0356563
1.3360e-02,0.0362969
1.3392e-02,0.0344219
1.3424e-02,0.0347344
1.3456e-02,0.0334844
1.3488e-02,0.033875
1.3520e-02,0.0345156
1.3552e-02,0.0362188
1.3584e-02,0.0360313
1.3616e-02,0.03525
1.3648e-02,0.0348125
1.3680e-02,0.0328594
1.3712e-02,0.0332188
1.3744e-02,0.0322969
1.3776e-02,0.0321094
1.3808e-02,0.0333125
1.3840e-02,0.0320625
1.3872e-02,0.0317656
1.3904e-02,0.03025
1.3936e-02,0.0316406
1.3968e-02,0.0317031
1.4000e-02,0.0299844
1.4032e-02,0.0317656
1.4064e-02,0.0301875
1.4096e-02,0.0305781
1.4128e-02,0.0297031
1.4160e-02,0.0304688
1.4192e-02,0.0298125
1.4224e-02,0.0285625
1.4256e-02,0.0311094
1.4288e-02,0.0319531
1.4320e-02,0.0305313
1.4352e-02,0.0306563
1.4384e-02,0.0311406
1.4416e-02,0.0303281
1.4448e-02,0.0305938
1.4480e-02,0.0293281
1.4512e-02,0.0284688
1.4544e-02,0.0290156
1.4576e-02,0.0296094
1.4608e-02,0.0284375
1.4640e-02,0.0274688
1.4672e-02,0.0266875
1.4704e-02,0.0282344
1.4736e-02,0.0273438
1.4768e-02,0.0287969
1.4800e-02,0.0290313
1.4832e-02,0.0290625
1.4864e-02,0.0279531
1.4896e-02,0.0287969
1.4928e-02,0.0278438
1.4960e-02,0.0297969
1.4992e-02,0.0297656
1.5024e-02,0.0309844
1.5056e-02,0.0310156
1.5088e-02,0.0310469
1.5120e-02,0.0304375
1.5152e-02,0.0311719
1.5184e-02,0.0286406
1.5216e-02,0.0287656
1.5248e-02,0.0293281
1.5280e-02,0.0285156
1.5312e-02,0.0279688
1.5344e-02,0.0280625
1.5376e-02,0.028375
1.5408e-02,0.028625
1.5440e-02,0.0282969
1.5472e-02,0.0281094
1.5504e-02,0.02625
1.5536e-02,0.0275781
1.5568e-02,0.0285938
1.5600e-02,0.0281875
1.5632e-02,0.0288125
1.5664e-02,0.0284531
1.5696e-02,0.0280938
1.5728e-02,0.0297813
1.5760e-02,0.0289844
1.5792e-02,0.0299375
1.5824e-02,0.0301719
1.5856e-02,0.0287656
1.5888e-02,0.02825
1.5920e-02,0.0282656
1.5952e-02,0.0282813
1.5984e-02,0.0280781
1.6016e-02,0.0283594
1.6048e-02,0.028625
1.6080e-02,0.0282969
1.6112e-02,0.0284375
1.6144e-02,0.0296094
1.6176e-02,0.0283125
1.6208e-02,0.0279531
1.6240e-02,0.0276406
1.6272e-02,0.0289844
1.6304e-02,0.0281094
1.6336e-02,0.029375
1.6368e-02,0.0306875
1.6400e-02,0.0309375
1.6432e-02,0.0293438
1.6464e-02,0.0296094
1.6496e-02,0.0283906
1.6528e-02,0.0284531
1.6560e-02,0.0281406
1.6592e-02,0.0279219
1.6624e-02,0.0280469
1.6656e-02,0.0279688
1.6688e-02,0.0288125
1.6720e-02,0.0295313
1.6752e-02,0.0276875
1.6784e-02,0.0281875
1.6816e-02,0.0279375
1.6848e-02,0.03
1.6880e-02,0.0287188
1.6912e-02,0.02925
1.6944e-02,0.0282656
1.6976e-02,0.0283906
1.7008e-02,0.0291719
1.7040e-02,0.0282031
1.7072e-02,0.0291406
1.7104e-02,0.0279219
1.7136e-02,0.0282656
1.7168e-02,0.0290781
1.7200e-02,0.0282344
1.7232e-02,0.02825
1.7264e-02,0.0281563
1.7296e-02,0.0277656
1.7328e-02,0.028625
1.7360e-02,0.0305781
1.7392e-02,0.0316094
1.7424e-02,0.031375
1.7456e-02,0.0316563
1.7488e-02,0.0313125
1.7520e-02,0.0309531
1.7552e-02,0.0307344
1.7584e-02,0.0310938
1.7616e-02,0.0302813
1.7648e-02,0.0301875
1.7680e-02,0.0292813
1.7712e-02,0.030625
1.7744e-02,0.030625
1.7776e-02,0.0308125
1.7808e-02,0.0308438
1.7840e-02,0.0308125
1.7872e-02,0.0306563
1.7904e-02,0.0317813
1.7936e-02,0.0318125
1.7968e-02,0.0318125
1.8000e-02,0.0315
1.8032e-02,0.0298594
1.8064e-02,0.0315156
1.8096e-02,0.0319375
1.8128e-02,0.0320938
1.8160e-02,0.0320469
