Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
9.8400e-03,0.0733359
9.8720e-03,0.0769297
9.9040e-03,0.0764453
9.9360e-03,0.075625
9.9680e-03,0.0761094
1.0000e-02,0.0783281
1.0032e-02,0.0804766
1.0064e-02,0.0831406
1.0096e-02,0.0839063
1.0128e-02,0.0867031
1.0160e-02,0.0916641
1.0192e-02,0.0966406
1.0224e-02,0.0973828
1.0256e-02,0.0964219
1.0288e-02,0.106391
1.0320e-02,0.110281
1.0352e-02,0.112734
1.0384e-02,0.115453
1.0416e-02,0.128539
1.0448e-02,0.132008
1.0480e-02,0.139891
1.0512e-02,0.143422
1.0544e-02,0.149383
1.0576e-02,0.162031
1.0608e-02,0.16607
1.0640e-02,0.163
1.0672e-02,0.167172
1.0704e-02,0.176406
1.0736e-02,0.180953
1.0768e-02,0.184148
1.0800e-02,0.186422
1.0832e-02,0.184469
1.0864e-02,0.189836
1.0896e-02,0.189469
1.0928e-02,0.194336
1.0960e-02,0.197328
1.0992e-02,0.19957
1.1024e-02,0.19475
1.1056e-02,0.193906
1.1088e-02,0.188586
1.1120e-02,0.187063
1.1152e-02,0.185641
1.1184e-02,0.177281
1.1216e-02,0.173711
1.1248e-02,0.167672
1.1280e-02,0.160914
1.1312e-02,0.149484
1.1344e-02,0.143656
1.1376e-02,0.140211
1.1408e-02,0.131672
1.1440e-02,0.121156
1.1472e-02,0.10832
1.1504e-02,0.103969
1.1536e-02,0.0985859
1.1568e-02,0.0947813
1.1600e-02,0.0886719
1.1632e-02,0.0828359
1.1664e-02,0.0761484
1.1696e-02,0.0753594
1.1728e-02,0.0720859
1.1760e-02,0.0668281
1.1792e-02,0.0628281
1.1824e-02,0.0592109
1.1856e-02,0.0596484
1.1888e-02,0.0559219
1.1920e-02,0.0546328
1.1952e-02,0.0549766
1.1984e-02,0.0518672
1.2016e-02,0.0490938
1.2048e-02,0.0469453
1.2080e-02,0.0474688
1.2112e-02,0.0453906
1.2144e-02,0.0438906
1.2176e-02,0.0433984
1.2208e-02,0.0433906
1.2240e-02,0.0430391
1.2272e-02,0.0410313
1.2304e-02,0.0425547
1.2336e-02,0.0410703
1.2368e-02,0.0432266
1.2400e-02,0.0405
1.2432e-02,0.0389063
1.2464e-02,0.0407969
1.2496e-02,0.0425234
1.2528e-02,0.0389688
1.2560e-02,0.0386953
1.2592e-02,0.0405938
1.2624e-02,0.0438828
1.2656e-02,0.0437266
1.2688e-02,0.0436797
1.2720e-02,0.0466172
1.2752e-02,0.0479922
1.2784e-02,0.0464766
1.2816e-02,0.0454453
1.2848e-02,0.0444922
1.2880e-02,0.04725
1.2912e-02,0.0468438
1.2944e-02,0.0466563
1.2976e-02,0.0448828
1.3008e-02,0.0444609
1.3040e-02,0.0478203
1.3072e-02,0.0475625
1.3104e-02,0.0507578
1.3136e-02,0.0501328
1.3168e-02,0.0531328
1.3200e-02,0.0502344
1.3232e-02,0.0493594
1.3264e-02,0.0496406
1.3296e-02,0.0505391
1.3328e-02,0.0514531
1.3360e-02,0.0505859
1.3392e-02,0.0506875
1.3424e-02,0.0498594
1.3456e-02,0.0511641
1.3488e-02,0.0528359
1.3520e-02,0.0543125
1.3552e-02,0.0518672
1.3584e-02,0.0495703
1.3616e-02,0.0516172
1.3648e-02,0.0510234
1.3680e-02,0.0540391
1.3712e-02,0.0539922
1.3744e-02,0.0557266
1.3776e-02,0.0563516
1.3808e-02,0.0549844
1.3840e-02,0.0542891
1.3872e-02,0.0570547
1.3904e-02,0.0580313
1.3936e-02,0.0597344
1.3968e-02,0.0637266
1.4000e-02,0.0653203
1.4032e-02,0.0684219
1.4064e-02,0.0716875
1.4096e-02,0.07275
1.4128e-02,0.0770313
1.4160e-02,0.0799688
1.4192e-02,0.0825078
1.4224e-02,0.0827656
1.4256e-02,0.0882891
1.4288e-02,0.0934219
1.4320e-02,0.098375
1.4352e-02,0.101383
1.4384e-02,0.10182
1.4416e-02,0.106828
1.4448e-02,0.111969
1.4480e-02,0.111445
1.4512e-02,0.114852
1.4544e-02,0.116328
1.4576e-02,0.1165
1.4608e-02,0.111711
1.4640e-02,0.110703
1.4672e-02,0.108836
1.4704e-02,0.106156
1.4736e-02,0.105516
1.4768e-02,0.105227
1.4800e-02,0.101508
1.4832e-02,0.0952656
1.4864e-02,0.0921328
1.4896e-02,0.0905781
1.4928e-02,0.0892656
1.4960e-02,0.0809922
1.4992e-02,0.0759844
1.5024e-02,0.0715313
1.5056e-02,0.0651328
1.5088e-02,0.0614609
1.5120e-02,0.0578359
1.5152e-02,0.0556172
1.5184e-02,0.0552266
1.5216e-02,0.0545547
1.5248e-02,0.0492266
1.5280e-02,0.0457266
1.5312e-02,0.0455156
1.5344e-02,0.0421797
1.5376e-02,0.0440859
1.5408e-02,0.0428125
1.5440e-02,0.0456875
1.5472e-02,0.0425469
1.5504e-02,0.0426797
1.5536e-02,0.0442031
1.5568e-02,0.0442969
1.5600e-02,0.0453906
1.5632e-02,0.0438281
1.5664e-02,0.0422578
1.5696e-02,0.0406953
1.5728e-02,0.0443125
1.5760e-02,0.0417109
1.5792e-02,0.0429297
1.5824e-02,0.042375
1.5856e-02,0.0410859
1.5888e-02,0.0422266
1.5920e-02,0.0427734
1.5952e-02,0.0415156
1.5984e-02,0.03875
1.6016e-02,0.0407734
1.6048e-02,0.0399297
1.6080e-02,0.0414531
1.6112e-02,0.0405156
1.6144e-02,0.0382188
1.6176e-02,0.0355469
1.6208e-02,0.0374063
1.6240e-02,0.0367656
1.6272e-02,0.0371406
1.6304e-02,0.0345078
1.6336e-02,0.0333359
1.6368e-02,0.0323359
1.6400e-02,0.0328359
1.6432e-02,0.0327891
1.6464e-02,0.0314297
1.6496e-02,0.0309375
1.6528e-02,0.0292734
1.6560e-02,0.0293281
1.6592e-02,0.0298125
1.6624e-02,0.0303125
1.6656e-02,0.0322031
1.6688e-02,0.0331875
1.6720e-02,0.0309453
1.6752e-02,0.0308516
1.6784e-02,0.0299219
1.6816e-02,0.0283203
1.6848e-02,0.0307891
1.6880e-02,0.0314453
1.6912e-02,0.0310938
1.6944e-02,0.0346797
1.6976e-02,0.0362578
1.7008e-02,0.0325781
1.7040e-02,0.0313047
1.7072e-02,0.0296328
1.7104e-02,0.0307344
1.7136e-02,0.0318828
1.7168e-02,0.0325781
1.7200e-02,0.0318516
1.7232e-02,0.0317891
1.7264e-02,0.0309375
1.7296e-02,0.0297266
1.7328e-02,0.0311172
1.7360e-02,0.0305859
1.7392e-02,0.0304688
1.7424e-02,0.03175
1.7456e-02,0.0321406
1.7488e-02,0.0335469
1.7520e-02,0.0353438
1.7552e-02,0.0336094
1.7584e-02,0.0335625
1.7616e-02,0.0350078
1.7648e-02,0.0390391
1.7680e-02,0.0363203
1.7712e-02,0.0350234
1.7744e-02,0.0379609
1.7776e-02,0.0374297
1.7808e-02,0.0371328
1.7840e-02,0.0358438
1.7872e-02,0.0374609
1.7904e-02,0.0374922
1.7936e-02,0.0369297
1.7968e-02,0.0379609
1.8000e-02,0.0371875
1.8032e-02,0.0374453
1.8064e-02,0.0375547
1.8096e-02,0.0361172
1.8128e-02,0.0379766
1.8160e-02,0.03625
1.8192e-02,0.0347969
1.8224e-02,0.0332969
1.8256e-02,0.0333828
