Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
9.8400e-03,0.0239656
9.8720e-03,0.0254812
9.9040e-03,0.0249187
9.9360e-03,0.0253687
9.9680e-03,0.0253312
1.0000e-02,0.0247656
1.0032e-02,0.0241531
1.0064e-02,0.0234906
1.0096e-02,0.0246125
1.0128e-02,0.0246844
1.0160e-02,0.0235187
1.0192e-02,0.0237031
1.0224e-02,0.0237625
1.0256e-02,0.0250594
1.0288e-02,0.0245
1.0320e-02,0.0249875
1.0352e-02,0.02405
1.0384e-02,0.0246094
1.0416e-02,0.024875
1.0448e-02,0.0252719
1.0480e-02,0.0252
1.0512e-02,0.0247469
1.0544e-02,0.0240687
1.0576e-02,0.0230094
1.0608e-02,0.02215
1.0640e-02,0.0227781
1.0672e-02,0.0229344
1.0704e-02,0.0235625
1.0736e-02,0.0223594
1.0768e-02,0.022425
1.0800e-02,0.0227781
1.0832e-02,0.0214062
1.0864e-02,0.0223781
1.0896e-02,0.022325
1.0928e-02,0.0237031
1.0960e-02,0.0230406
1.0992e-02,0.0236875
1.1024e-02,0.0221437
1.1056e-02,0.0238437
1.1088e-02,0.0223312
1.1120e-02,0.0224312
1.1152e-02,0.0222094
1.1184e-02,0.0216687
1.1216e-02,0.0220375
1.1248e-02,0.0221531
1.1280e-02,0.0225312
1.1312e-02,0.0229062
1.1344e-02,0.02285
1.1376e-02,0.02325
1.1408e-02,0.023
1.1440e-02,0.0237625
1.1472e-02,0.023125
1.1504e-02,0.0234656
1.1536e-02,0.0235594
1.1568e-02,0.02235
1.1600e-02,0.023575
1.1632e-02,0.024425
1.1664e-02,0.023975
1.1696e-02,0.0239437
1.1728e-02,0.022875
1.1760e-02,0.0231594
1.1792e-02,0.0228937
1.1824e-02,0.0215437
1.1856e-02,0.022275
1.1888e-02,0.0230875
1.1920e-02,0.0234
1.1952e-02,0.02265
1.1984e-02,0.0233687
1.2016e-02,0.0227562
1.2048e-02,0.0218062
1.2080e-02,0.0210906
1.2112e-02,0.0216594
1.2144e-02,0.0232906
1.2176e-02,0.0232812
1.2208e-02,0.0235187
1.2240e-02,0.0229344
1.2272e-02,0.0227062
1.2304e-02,0.0217875
1.2336e-02,0.0216812
1.2368e-02,0.0231719
1.2400e-02,0.023325
1.2432e-02,0.0227312
1.2464e-02,0.0226031
1.2496e-02,0.0233719
1.2528e-02,0.0225937
1.2560e-02,0.0226094
1.2592e-02,0.0230625
1.2624e-02,0.0238219
1.2656e-02,0.0229594
1.2688e-02,0.022825
1.2720e-02,0.0224875
1.2752e-02,0.0224156
1.2784e-02,0.0222969
1.2816e-02,0.0223062
1.2848e-02,0.02185
1.2880e-02,0.0217906
1.2912e-02,0.02215
1.2944e-02,0.0223875
1.2976e-02,0.0230781
1.3008e-02,0.0221594
1.3040e-02,0.0216062
1.3072e-02,0.0235719
1.3104e-02,0.0238219
1.3136e-02,0.0242031
1.3168e-02,0.0240187
1.3200e-02,0.0239469
1.3232e-02,0.0237937
1.3264e-02,0.0250437
1.3296e-02,0.0248594
1.3328e-02,0.02585
1.3360e-02,0.0254875
1.3392e-02,0.0254344
1.3424e-02,0.0248625
1.3456e-02,0.0242187
1.3488e-02,0.0241375
1.3520e-02,0.0229969
1.3552e-02,0.0227687
1.3584e-02,0.0232187
1.3616e-02,0.0236469
1.3648e-02,0.0230062
1.3680e-02,0.0234219
1.3712e-02,0.0231344
1.3744e-02,0.0241562
1.3776e-02,0.0227656
1.3808e-02,0.0222125
1.3840e-02,0.0216281
1.3872e-02,0.0215781
1.3904e-02,0.0199937
1.3936e-02,0.0206969
1.3968e-02,0.022175
1.4000e-02,0.0212625
1.4032e-02,0.02055
1.4064e-02,0.0203375
1.4096e-02,0.0196469
1.4128e-02,0.0201125
1.4160e-02,0.0194
1.4192e-02,0.0188156
1.4224e-02,0.0176406
1.4256e-02,0.0180281
1.4288e-02,0.0188031
1.4320e-02,0.0199719
1.4352e-02,0.0192062
1.4384e-02,0.0189906
1.4416e-02,0.0184187
1.4448e-02,0.0197094
1.4480e-02,0.0192
1.4512e-02,0.0195344
1.4544e-02,0.0191937
1.4576e-02,0.018225
1.4608e-02,0.01835
1.4640e-02,0.018525
1.4672e-02,0.0190625
1.4704e-02,0.0186562
1.4736e-02,0.018325
1.4768e-02,0.0188437
1.4800e-02,0.0183094
1.4832e-02,0.0188125
1.4864e-02,0.0184781
1.4896e-02,0.0168312
1.4928e-02,0.0183812
1.4960e-02,0.0174844
1.4992e-02,0.0178625
1.5024e-02,0.0179812
1.5056e-02,0.0189375
1.5088e-02,0.0195
1.5120e-02,0.0188531
1.5152e-02,0.0188
1.5184e-02,0.0181
1.5216e-02,0.0182906
1.5248e-02,0.0181687
1.5280e-02,0.0178031
1.5312e-02,0.0176344
1.5344e-02,0.0172719
1.5376e-02,0.0177812
1.5408e-02,0.0175687
1.5440e-02,0.0175469
1.5472e-02,0.0177625
1.5504e-02,0.0189094
1.5536e-02,0.0187031
1.5568e-02,0.0185812
1.5600e-02,0.018375
1.5632e-02,0.0179625
1.5664e-02,0.0176312
1.5696e-02,0.0175594
1.5728e-02,0.0178344
1.5760e-02,0.0173437
1.5792e-02,0.0174219
1.5824e-02,0.0174062
1.5856e-02,0.0167687
1.5888e-02,0.0169156
1.5920e-02,0.0178344
1.5952e-02,0.017925
1.5984e-02,0.0186281
1.6016e-02,0.0183937
1.6048e-02,0.0188906
1.6080e-02,0.0198781
1.6112e-02,0.018825
1.6144e-02,0.0184531
1.6176e-02,0.0185
1.6208e-02,0.0184875
1.6240e-02,0.0179031
1.6272e-02,0.0171344
1.6304e-02,0.0173437
1.6336e-02,0.0170625
1.6368e-02,0.0163906
1.6400e-02,0.0167187
1.6432e-02,0.0181156
1.6464e-02,0.0192969
1.6496e-02,0.0179875
1.6528e-02,0.0183656
1.6560e-02,0.0182062
1.6592e-02,0.0185094
1.6624e-02,0.018275
1.6656e-02,0.0184219
1.6688e-02,0.0177469
1.6720e-02,0.0179094
1.6752e-02,0.0176
1.6784e-02,0.0171187
1.6816e-02,0.0176687
1.6848e-02,0.0185406
1.6880e-02,0.0190969
1.6912e-02,0.0203437
1.6944e-02,0.0195312
1.6976e-02,0.0191937
1.7008e-02,0.0193437
1.7040e-02,0.0187125
1.7072e-02,0.0184875
1.7104e-02,0.019025
1.7136e-02,0.0191937
1.7168e-02,0.0193687
1.7200e-02,0.0192
1.7232e-02,0.0183281
1.7264e-02,0.0169656
1.7296e-02,0.0175094
1.7328e-02,0.0177219
1.7360e-02,0.0185344
1.7392e-02,0.0173844
1.7424e-02,0.0185
1.7456e-02,0.0187656
1.7488e-02,0.0185687
1.7520e-02,0.018125
1.7552e-02,0.0182875
1.7584e-02,0.0183344
1.7616e-02,0.0182406
1.7648e-02,0.0172719
1.7680e-02,0.0181187
1.7712e-02,0.018075
1.7744e-02,0.0182312
1.7776e-02,0.0171937
1.7808e-02,0.0179625
1.7840e-02,0.0182562
1.7872e-02,0.0183656
1.7904e-02,0.0178625
1.7936e-02,0.0182156
1.7968e-02,0.0177781
1.8000e-02,0.017575
1.8032e-02,0.0186031
1.8064e-02,0.0186156
1.8096e-02,0.0182437
1.8128e-02,0.0186375
1.8160e-02,0.0183719
1.8192e-02,0.0193781
1.8224e-02,0.0184844
