Model,MSO2024
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,1.28e-05
Filter Frequency,2e+08
Record Length,3125
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Label,
TIME,CH1
3.984e-02,0.0209281
3.985e-02,0.0216031
3.987e-02,0.02165
3.988e-02,0.0216906
3.989e-02,0.022275
3.990e-02,0.0226906
3.992e-02,0.0228531
3.993e-02,0.0226969
3.994e-02,0.02225
3.996e-02,0.0220719
3.997e-02,0.0220469
3.998e-02,0.0223812
3.999e-02,0.0223437
4.001e-02,0.0229156
4.002e-02,0.0238625
4.003e-02,0.0240187
4.004e-02,0.0236969
4.006e-02,0.0239906
4.007e-02,0.0240531
4.008e-02,0.0243469
4.010e-02,0.0248281
4.011e-02,0.0252875
4.012e-02,0.0248906
4.013e-02,0.0256969
4.015e-02,0.0259656
4.016e-02,0.0262562
4.017e-02,0.0273031
4.019e-02,0.0269
4.020e-02,0.0261656
4.021e-02,0.0265531
4.022e-02,0.0269406
4.024e-02,0.0264594
4.025e-02,0.0263062
4.026e-02,0.0258281
4.028e-02,0.0254844
4.029e-02,0.0257219
4.030e-02,0.0267062
4.031e-02,0.0270281
4.033e-02,0.0266344
4.034e-02,0.0267156
4.035e-02,0.0266062
4.036e-02,0.026925
4.038e-02,0.0275062
4.039e-02,0.026925
4.040e-02,0.0271875
4.042e-02,0.0271437
4.043e-02,0.0272906
4.044e-02,0.0268625
4.045e-02,0.0274187
4.047e-02,0.0275969
4.048e-02,0.0276875
4.049e-02,0.0283062
4.051e-02,0.0283969
4.052e-02,0.0288156
4.053e-02,0.0289844
4.054e-02,0.0297719
4.056e-02,0.0314406
4.057e-02,0.0309594
4.058e-02,0.0307281
4.060e-02,0.0299469
4.061e-02,0.0307562
4.062e-02,0.0306687
4.063e-02,0.0305562
4.065e-02,0.0312562
4.066e-02,0.03125
4.067e-02,0.0314781
4.068e-02,0.0319281
4.070e-02,0.0318562
4.071e-02,0.0320375
4.072e-02,0.0323969
4.074e-02,0.0320219
4.075e-02,0.0328937
4.076e-02,0.03295
4.077e-02,0.0326344
4.079e-02,0.0339906
4.080e-02,0.0342469
4.081e-02,0.0347656
4.083e-02,0.0353156
4.084e-02,0.0353844
4.085e-02,0.0352094
4.086e-02,0.0364469
4.088e-02,0.0368625
4.089e-02,0.0372156
4.090e-02,0.0372375
4.092e-02,0.0376031
4.093e-02,0.0382344
4.094e-02,0.0392594
4.095e-02,0.0396281
4.097e-02,0.0401937
4.098e-02,0.0418625
4.099e-02,0.0427219
4.100e-02,0.0441312
4.102e-02,0.0458812
4.103e-02,0.0469094
4.104e-02,0.0477906
4.106e-02,0.0480469
4.107e-02,0.0476812
4.108e-02,0.0489062
4.109e-02,0.0492469
4.111e-02,0.0511625
4.112e-02,0.0524406
4.113e-02,0.0539281
4.115e-02,0.0546937
4.116e-02,0.0553344
4.117e-02,0.0548094
4.118e-02,0.0550969
4.120e-02,0.0555875
4.121e-02,0.0552531
4.122e-02,0.0559719
4.124e-02,0.0564
4.125e-02,0.0578156
4.126e-02,0.0591969
4.127e-02,0.0588344
4.129e-02,0.0589812
4.130e-02,0.0595094
4.131e-02,0.0597937
4.132e-02,0.0597187
4.134e-02,0.059625
4.135e-02,0.0601437
4.136e-02,0.06115
4.138e-02,0.0605875
4.139e-02,0.0613281
4.140e-02,0.0614031
4.141e-02,0.0610219
4.143e-02,0.0619437
4.144e-02,0.0621719
4.145e-02,0.0619562
4.147e-02,0.0613781
4.148e-02,0.0607687
4.149e-02,0.0611062
4.150e-02,0.0617031
4.152e-02,0.0608844
4.153e-02,0.060375
4.154e-02,0.0598656
4.156e-02,0.0590812
4.157e-02,0.0591281
4.158e-02,0.0577844
4.159e-02,0.0549344
4.161e-02,0.0531094
4.162e-02,0.0533187
4.163e-02,0.0535969
4.164e-02,0.0534125
4.166e-02,0.0530687
4.167e-02,0.0521594
4.168e-02,0.050975
4.170e-02,0.04985
4.171e-02,0.0483125
4.172e-02,0.0465812
4.173e-02,0.0450062
4.175e-02,0.0440031
4.176e-02,0.0421125
4.177e-02,0.0412906
4.179e-02,0.0414
4.180e-02,0.0403594
4.181e-02,0.0400375
4.182e-02,0.0395062
4.184e-02,0.0382969
4.185e-02,0.0379406
4.186e-02,0.0368687
4.188e-02,0.0352375
4.189e-02,0.0346062
4.190e-02,0.0347719
4.191e-02,0.0335281
4.193e-02,0.03255
4.194e-02,0.0322062
4.195e-02,0.0319469
4.196e-02,0.031275
4.198e-02,0.0298125
4.199e-02,0.0289531
4.200e-02,0.0293312
4.202e-02,0.0297719
4.203e-02,0.0301844
4.204e-02,0.0299625
4.205e-02,0.0298156
4.207e-02,0.0297875
4.208e-02,0.0287531
4.209e-02,0.0274344
4.211e-02,0.0264906
4.212e-02,0.0263469
4.213e-02,0.026475
4.214e-02,0.0267719
4.216e-02,0.0263437
4.217e-02,0.0262437
4.218e-02,0.0264312
4.220e-02,0.0268406
4.221e-02,0.0265812
4.222e-02,0.0264156
4.223e-02,0.0259187
4.225e-02,0.0252219
4.226e-02,0.0256656
4.227e-02,0.0250781
4.228e-02,0.0245906
4.230e-02,0.0247781
4.231e-02,0.0248406
4.232e-02,0.0242094
4.234e-02,0.0237687
4.235e-02,0.0232094
4.236e-02,0.0229469
4.237e-02,0.0220969
4.239e-02,0.0219344
4.240e-02,0.0221031
4.241e-02,0.0223125
4.243e-02,0.0221625
4.244e-02,0.0211937
4.245e-02,0.0217187
4.246e-02,0.0219812
4.248e-02,0.0216687
4.249e-02,0.0210781
4.250e-02,0.0208594
4.252e-02,0.021475
4.253e-02,0.0220656
4.254e-02,0.022575
4.255e-02,0.022225
4.257e-02,0.0219906
4.258e-02,0.0217656
4.259e-02,0.0213125
4.260e-02,0.02175
4.262e-02,0.0218125
4.263e-02,0.0219062
4.264e-02,0.021575
4.266e-02,0.0212625
4.267e-02,0.0206656
4.268e-02,0.020175
4.269e-02,0.0206594
4.271e-02,0.0203187
4.272e-02,0.0209062
4.273e-02,0.02115
4.275e-02,0.0205562
4.276e-02,0.0199875
4.277e-02,0.0196812
4.278e-02,0.0197344
4.280e-02,0.0198687
4.281e-02,0.0198344
4.282e-02,0.0193844
4.284e-02,0.0191531
4.285e-02,0.0192125
4.286e-02,0.0190469
4.287e-02,0.0183594
4.289e-02,0.0178562
4.290e-02,0.0178937
4.291e-02,0.0187406
4.292e-02,0.0189437
4.294e-02,0.0192812
4.295e-02,0.0190375
4.296e-02,0.0187281
4.298e-02,0.0188562
4.299e-02,0.0192437
4.300e-02,0.0199344
4.301e-02,0.0200094
4.303e-02,0.0198781
4.304e-02,0.0192156
4.305e-02,0.0191531
4.307e-02,0.0195031
4.308e-02,0.0199625
4.309e-02,0.0200719
4.310e-02,0.0194625
4.312e-02,0.0190937
4.313e-02,0.0191969
4.314e-02,0.0192844
4.316e-02,0.0197219
4.317e-02,0.0201469
4.318e-02,0.0202156
4.319e-02,0.0200031
4.321e-02,0.01955
4.322e-02,0.0199125
4.323e-02,0.0196437
4.324e-02,0.0189562
4.326e-02,0.0193687
4.327e-02,0.0197937
4.328e-02,0.0196719
4.330e-02,0.0189125
4.331e-02,0.0188687
4.332e-02,0.0185094
4.333e-02,0.0184
4.335e-02,0.0190125
4.336e-02,0.0192687
4.337e-02,0.0195969
4.339e-02,0.0199469
4.340e-02,0.0194375
4.341e-02,0.0195531
4.342e-02,0.019675
