Channel,Counts
0,9896
1,9756
2,9943
3,9911
4,9661
5,9862
6,9799
7,10044
8,10056
9,9854
10,9866
11,9859
12,9709
13,9828
14,9857
15,9871
16,9917
17,9773
18,9878
19,9959
20,9709
21,9695
22,9887
23,9875
24,9923
25,9686
26,9954
27,9781
28,9730
29,9817
30,9955
31,9827
32,9757
33,9824
34,9935
35,9794
36,9588
37,9791
38,9811
39,9632
40,9690
41,9631
42,9870
43,9783
44,9872
45,9749
46,9839
47,9638
48,9811
49,9725
50,9880
51,9680
52,9725
53,9653
54,9940
55,9633
56,9609
57,9711
58,9638
59,9915
60,9786
61,9670
62,9603
63,9711
64,9654
65,9765
66,9536
67,9553
68,9445
69,9624
70,9496
71,9609
72,9648
73,9625
74,9370
75,9487
76,9505
77,9661
78,9427
79,9543
80,9378
81,9597
82,9496
83,9212
84,9331
85,9349
86,9308
87,9333
88,9197
89,9130
90,9219
91,8983
92,9100
93,8635
94,8899
95,8890
96,8666
97,8673
98,8367
99,8408
100,8439
101,8219
102,8054
103,7812
104,7815
105,7654
106,7421
107,7342
108,6944
109,6928
110,6819
111,6601
112,6379
113,6153
114,6054
115,5831
116,5654
117,5616
118,5511
119,5481
120,5443
121,5482
122,5485
123,5606
124,5670
125,5724
126,5950
127,6109
128,6209
129,6438
130,6722
131,6822
132,7203
133,7134
134,7541
135,7653
136,7652
137,7920
138,7966
139,8187
140,8327
141,8515
142,8573
143,8635
144,8767
145,8826
146,8738
147,8830
148,8929
149,9038
150,9076
151,9154
152,9062
153,9204
154,9099
155,9267
156,9308
157,9393
158,9500
159,9328
160,9418
161,9266
162,9383
163,9599
164,9458
165,9476
166,9608
167,9579
168,9440
169,9463
170,9395
171,9692
172,9703
173,9667
174,9402
175,9546
176,9514
177,9607
178,9858
179,9623
180,9618
181,9804
182,9680
183,9594
184,9669
185,9871
186,9848
187,9779
188,9857
189,9751
190,9640
191,9619
192,9858
193,9681
194,9615
195,9741
196,9788
197,9872
198,9917
199,9658
200,9720
201,9807
202,9768
203,9724
204,9802
205,9837
206,9560
207,9770
208,9871
209,9761
210,9824
211,9844
212,9747
213,9758
214,9730
215,9760
216,10000
217,9987
218,9683
219,9947
220,9868
221,9745
222,9701
223,9676
224,9615
225,9811
226,9660
227,9705
228,9665
229,9552
230,9722
