X, Y0
0.0974,0.0012
0.0974,0.0012
0.0974,0.0005
0.0978,0.0037
0.0981,0.0016
0.0981,0.0016
0.0982,0.0016
0.0982,0.0022
0.0984,-0.0010
0.0992,0.0033
0.0994,-0.0002
0.0994,-0.0002
0.0995,-0.0002
0.0995,-0.0002
0.0995,-0.0002
0.0994,-0.0002
0.0995,-0.0002
0.0995,-0.0007
0.0995,0.0024
0.0995,-0.0031
0.0995,0.0005
0.1003,0.0005
0.1004,0.0005
0.1006,0.0005
0.1009,0.0005
0.1011,0.0005
0.1011,0.0005
0.1011,0.0009
0.1012,-0.0023
0.1016,0.0032
0.1016,-0.0003
0.1017,-0.0003
0.1018,-0.0003
0.1021,-0.0003
0.1021,-0.0003
0.1021,-0.0003
0.1027,-0.0003
0.1027,-0.0009
0.1032,0.0023
0.1032,-0.0026
0.1033,0.0010
0.1033,0.0010
0.1035,0.0010
0.1038,0.0010
0.1042,0.0010
0.1042,0.0010
0.1043,0.0010
0.1045,0.0015
0.1047,-0.0014
0.1050,0.0036
0.1051,-0.0004
0.1058,-0.0004
0.1060,-0.0004
0.1062,-0.0004
0.1062,-0.0004
0.1066,-0.0004
0.1071,-0.0004
0.1071,-0.0008
0.1072,0.0025
0.1075,-0.0028
0.1075,0.0012
0.1074,0.0012
0.1074,0.0012
0.1077,0.0012
0.1078,0.0012
0.1078,0.0012
0.1078,0.0012
0.1083,0.0013
0.1086,-0.0021
0.1086,0.0033
0.1088,-0.0008
0.1088,-0.0008
0.1088,-0.0008
0.1088,-0.0008
0.1088,-0.0008
0.1088,-0.0008
0.1088,-0.0008
0.1088,-0.0011
0.1089,0.0020
0.1089,-0.0029
0.1091,0.0009
0.1092,0.0009
0.1093,0.0009
0.1099,0.0009
0.1100,0.0009
0.1106,0.0009
0.1106,0.0009
0.1106,0.0013
0.1106,-0.0014
0.1106,0.0036
0.1106,1.1740E-5
0.1106,1.1740E-5
0.1108,1.1740E-5
0.1110,1.1740E-5
0.1110,1.1740E-5
0.1112,1.1740E-5
0.1114,1.1740E-5
0.1114,-3.2097E-5
0.1120,0.0028
0.1123,-0.0023
0.1123,0.0020
0.1123,0.0020
0.1123,0.0020
0.1123,0.0020
0.1129,0.0020
0.1123,0.0020
0.1129,0.0020
0.1129,0.0021
0.1129,-0.0010
0.1129,0.0044
0.1131,0.0006
0.1133,0.0006
0.1133,0.0006
0.1134,0.0006
0.1134,0.0006
0.1134,0.0006
0.1134,0.0006
0.1134,0.0003
0.1135,0.0037
0.1137,-0.0016
0.1137,0.0027
0.1139,0.0027
0.1142,0.0027
0.1142,0.0027
0.1145,0.0027
0.1146,0.0027
0.1146,0.0027
0.1152,0.0027
0.1155,1.1740E-5
0.1162,0.0050
0.1169,0.0006
0.1169,0.0008
0.1169,0.0008
0.1169,0.0008
0.1169,0.0008
0.1169,0.0008
0.1170,0.0008
0.1171,0.0008
0.1171,0.0036
0.1180,-0.0017
0.1181,0.0028
0.1181,0.0025
0.1181,0.0025
0.1186,0.0025
0.1186,0.0025
0.1190,0.0025
0.1191,0.0025
0.1191,0.0025
0.1194,-0.0003
0.1200,0.0047
0.1200,0.0013
0.1200,0.0013
0.1201,0.0013
0.1201,0.0013
0.1202,0.0013
0.1205,0.0013
0.1208,0.0013
0.1213,0.0013
0.1215,0.0040
0.1217,-0.0008
0.1217,0.0029
0.1217,0.0025
0.1217,0.0025
0.1217,0.0025
0.1222,0.0025
0.1224,0.0025
0.1224,0.0025
0.1226,0.0025
0.1226,5.5577E-5
0.1226,0.0048
0.1234,0.0006
0.1235,0.0011
0.1237,0.0011
0.1239,0.0011
0.1239,0.0011
0.1240,0.0011
0.1241,0.0011
0.1242,0.0011
0.1242,0.0038
0.1242,-0.0013
0.1242,0.0032
0.1244,0.0026
0.1244,0.0026
0.1244,0.0026
0.1244,0.0026
0.1244,0.0026
0.1245,0.0026
0.1250,0.0026
0.1250,-0.0002
0.1250,0.0047
0.1250,0.0007
0.1250,0.0012
0.1248,0.0012
0.1248,0.0012
0.1246,0.0012
0.1246,0.0012
0.1247,0.0012
0.1247,0.0012
0.1249,0.0039
0.1249,-0.0009
0.1251,0.0029
0.1256,0.0026
0.1260,0.0026
0.1260,0.0026
0.1260,0.0026
0.1260,0.0026
0.1264,0.0026
0.1264,0.0026
0.1264,0.0003
0.1264,0.0050
0.1265,0.0006
0.1265,0.0012
0.1266,0.0012
0.1272,0.0012
0.1276,0.0012
0.1278,0.0012
0.1285,0.0012
0.1285,0.0012
0.1288,0.0039
0.1289,-0.0009
0.1297,0.0026
0.1298,0.0021
0.1298,0.0021
0.1298,0.0021
0.1299,0.0021
0.1300,0.0021
0.1304,0.0021
0.1306,0.0021
0.1307,-0.0011
0.1307,0.0038
0.1309,-0.0011
0.1310,-0.0007
0.1312,-0.0007
0.1319,-0.0007
0.1319,-0.0007
0.1319,-0.0007
0.1319,-0.0007
0.1319,-0.0007
0.1319,0.0019
0.1323,-0.0025
0.1324,0.0011
0.1327,0.0003
0.1327,0.0003
0.1331,0.0003
0.1331,0.0003
0.1333,0.0003
0.1333,0.0003
0.1342,0.0003
0.1342,-0.0020
0.1342,0.0027
0.1342,-0.0018
0.1346,-0.0005
0.1349,-0.0005
0.1349,-0.0005
0.1351,-0.0005
0.1349,-0.0005
0.1351,-0.0005
0.1352,-0.0005
0.1355,0.0019
0.1357,-0.0028
0.1359,0.0018
0.1359,0.0010
0.1362,0.0010
0.1362,0.0010
0.1364,0.0010
0.1364,0.0010
0.1364,0.0010
0.1367,0.0010
0.1367,-0.0015
0.1367,0.0034
0.1367,-0.0005
0.1368,0.0002
0.1373,0.0002
0.1373,0.0002
0.1373,0.0002
0.1374,0.0002
0.1377,0.0002
0.1383,0.0002
0.1383,0.0027
0.1383,-0.0014
0.1379,0.0028
0.1378,0.0020
0.1378,0.0020
0.1378,0.0020
0.1378,0.0020
0.1379,0.0020
0.1379,0.0020
0.1379,0.0020
0.1382,-7.5935E-5
0.1384,0.0045
0.1384,7.7495E-5
0.1385,0.0013
0.1388,0.0013
0.1396,0.0013
0.1397,0.0013
0.1397,0.0013
0.1399,0.0013
0.1399,0.0013
0.1399,0.0035
0.1402,-0.0012
0.1402,0.0033
0.1403,0.0023
0.1405,0.0023
0.1405,0.0023
0.1405,0.0023
0.1405,0.0023
0.1407,0.0023
0.1407,0.0023
0.1412,-0.0002
0.1412,0.0042
0.1416,-0.0004
0.1417,0.0004
0.1418,0.0004
0.1418,0.0004
0.1421,0.0004
0.1421,0.0004
0.1424,0.0004
0.1426,0.0004
0.1428,0.0026
0.1430,-0.0017
0.1435,0.0020
0.1436,0.0009
0.1445,0.0009
0.1445,0.0009
0.1448,0.0009
0.1451,0.0009
0.1452,0.0009
0.1455,0.0009
0.1457,-0.0011
0.1461,0.0031
0.1461,-0.0017
0.1466,-0.0004
0.1466,-0.0004
0.1466,-0.0004
0.1471,-0.0004
0.1477,-0.0004
0.1477,-0.0004
0.1480,-0.0004
0.1480,0.0015
0.1479,-0.0030
0.1479,0.0008
0.1479,-0.0008
0.1479,-0.0008
0.1475,-0.0008
0.1475,-0.0008
0.1475,-0.0008
0.1475,-0.0008
0.1479,-0.0008
0.1479,-0.0030
0.1479,0.0012
0.1484,-0.0036
0.1487,-0.0023
0.1489,-0.0023
0.1490,-0.0023
0.1490,-0.0023
0.1491,-0.0023
0.1491,-0.0023
0.1490,-0.0023
0.1489,-0.0003
0.1490,-0.0046
0.1490,-0.0004
0.1493,-0.0022
0.1493,-0.0022
0.1496,-0.0022
0.1502,-0.0022
0.1507,-0.0022
0.1507,-0.0022
0.1511,-0.0022
0.1511,-0.0039
0.1511,0.0001
0.1511,-0.0047
0.1511,-0.0030
0.1510,-0.0030
0.1507,-0.0030
0.1507,-0.0030
0.1510,-0.0030
0.1510,-0.0030
0.1510,-0.0030
0.1515,-0.0011
0.1522,-0.0055
0.1525,-0.0012
0.1525,-0.0024
0.1528,-0.0024
0.1529,-0.0024
0.1529,-0.0024
0.1529,-0.0024
0.1527,-0.0024
0.1529,-0.0024
0.1529,-0.0047
0.1529,-0.0004
0.1529,-0.0045
0.1529,-0.0031
0.1530,-0.0031
0.1536,-0.0031
0.1541,-0.0031
0.1541,-0.0031
0.1546,-0.0031
0.1548,-0.0031
0.1548,-0.0011
0.1548,-0.0052
0.1550,-0.0005
0.1550,-0.0021
0.1550,-0.0021
0.1551,-0.0021
0.1551,-0.0021
0.1551,-0.0021
0.1553,-0.0021
0.1559,-0.0021
0.1562,-0.0037
0.1563,0.0003
0.1564,-0.0039
0.1568,-0.0019
0.1569,-0.0019
0.1575,-0.0019
0.1578,-0.0019
0.1579,-0.0019
0.1579,-0.0019
0.1579,-0.0019
0.1579,-0.0001
0.1581,-0.0044
0.1581,0.0003
0.1581,-0.0013
0.1590,-0.0013
0.1591,-0.0013
0.1592,-0.0013
0.1592,-0.0013
0.1597,-0.0013
0.1597,-0.0013
0.1601,-0.0033
0.1601,0.0010
0.1602,-0.0034
0.1602,-0.0021
0.1602,-0.0021
0.1602,-0.0021
0.1605,-0.0021
0.1608,-0.0021
0.1611,-0.0021
0.1611,-0.0021
0.1619,5.5577E-5
0.1621,-0.0041
0.1622,0.0005
0.1622,-0.0014
0.1622,-0.0014
0.1622,-0.0014
0.1622,-0.0014
0.1622,-0.0014
0.1626,-0.0014
0.1626,-0.0014
0.1626,-0.0029
0.1626,0.0012
0.1627,-0.0036
0.1628,-0.0014
0.1633,-0.0014
0.1637,-0.0014
0.1640,-0.0014
0.1640,-0.0014
0.1640,-0.0014
0.1640,-0.0014
0.1640,-0.0002
0.1638,-0.0041
0.1636,0.0012
0.1636,-0.0010
0.1636,-0.0010
0.1636,-0.0010
0.1638,-0.0010
0.1640,-0.0010
0.1640,-0.0010
0.1641,-0.0010
0.1643,-0.0026
0.1645,0.0016
0.1647,-0.0024
0.1647,-0.0008
0.1647,-0.0008
0.1647,-0.0008
0.1651,-0.0008
0.1652,-0.0008
0.1652,-0.0008
0.1656,-0.0008
0.1656,0.0012
0.1657,-0.0026
0.1657,0.0027
0.1660,0.0007
0.1667,0.0007
0.1668,0.0007
0.1671,0.0007
0.1677,0.0007
0.1678,0.0007
0.1680,0.0007
0.1681,-0.0005
0.1682,0.0037
0.1682,-0.0010
0.1682,0.0014
0.1682,0.0014
0.1685,0.0014
0.1686,0.0014
0.1688,0.0014
0.1689,0.0014
0.1693,0.0014
0.1695,0.0029
0.1696,-0.0011
0.1701,0.0042
0.1703,0.0017
0.1703,0.0017
0.1703,0.0017
0.1703,0.0017
0.1703,0.0017
0.1706,0.0017
0.1706,0.0017
0.1706,0.0004
0.1706,0.0046
0.1706,7.7495E-5
0.1708,0.0024
0.1717,0.0024
0.1718,0.0024
0.1722,0.0024
0.1723,0.0024
0.1726,0.0024
0.1729,0.0024
0.1730,0.0038
