X, Y0
0.2841,-0.0675
0.2841,-0.0678
0.2842,-0.0674
0.2845,-0.0674
0.2845,-0.0673
0.2845,-0.0676
0.2846,-0.0676
0.2848,-0.0675
0.2854,-0.0675
0.2858,-0.0676
0.2858,-0.0676
0.2859,-0.0676
0.2872,-0.0675
0.2874,-0.0676
0.2874,-0.0677
0.2880,-0.0676
0.2885,-0.0676
0.2889,-0.0673
0.2894,-0.0676
0.2894,-0.0676
0.2898,-0.0675
0.2901,-0.0674
0.2902,-0.0675
0.2903,-0.0675
0.2903,-0.0675
0.2908,-0.0675
0.2913,-0.0674
0.2915,-0.0676
0.2922,-0.0677
0.2923,-0.0677
0.2935,-0.0676
0.2939,-0.0677
0.2942,-0.0679
0.2943,-0.0679
0.2943,-0.0677
0.2949,-0.0676
0.2949,-0.0676
0.2951,-0.0680
0.2951,-0.0679
0.2951,-0.0676
0.2952,-0.0678
0.2952,-0.0679
0.2961,-0.0679
0.2962,-0.0678
0.2964,-0.0678
0.2972,-0.0678
0.2972,-0.0678
0.2975,-0.0678
0.2976,-0.0677
0.2978,-0.0677
0.2978,-0.0677
0.2980,-0.0678
0.2980,-0.0677
0.2982,-0.0677
0.2984,-0.0679
0.2987,-0.0679
0.2987,-0.0680
0.2989,-0.0677
0.2989,-0.0676
0.2993,-0.0676
0.2998,-0.0679
0.3001,-0.0676
0.3002,-0.0676
0.3003,-0.0676
0.3007,-0.0679
0.3008,-0.0679
0.3011,-0.0675
0.3011,-0.0674
0.3011,-0.0675
0.3011,-0.0677
0.3011,-0.0676
0.3011,-0.0675
0.3014,-0.0676
0.3023,-0.0676
0.3029,-0.0677
0.3031,-0.0676
0.3038,-0.0676
0.3039,-0.0677
0.3039,-0.0678
0.3041,-0.0677
0.3041,-0.0677
0.3041,-0.0673
0.3042,-0.0677
0.3042,-0.0679
0.3042,-0.0673
0.3042,-0.0673
0.3046,-0.0678
0.3052,-0.0679
0.3054,-0.0679
0.3057,-0.0678
0.3060,-0.0676
0.3064,-0.0677
0.3064,-0.0677
0.3068,-0.0676
0.3072,-0.0676
0.3073,-0.0674
0.3075,-0.0676
0.3076,-0.0674
0.3076,-0.0673
0.3079,-0.0673
0.3080,-0.0673
0.3081,-0.0678
0.3086,-0.0678
0.3091,-0.0673
0.3095,-0.0675
0.3095,-0.0678
0.3097,-0.0678
0.3100,-0.0675
0.3102,-0.0673
0.3109,-0.0675
0.3113,-0.0677
0.3115,-0.0677
0.3119,-0.0675
0.3122,-0.0675
0.3125,-0.0675
0.3127,-0.0675
0.3130,-0.0675
0.3131,-0.0675
0.3132,-0.0675
0.3137,-0.0681
0.3137,-0.0681
0.3138,-0.0677
0.3148,-0.0677
0.3151,-0.0677
0.3155,-0.0677
0.3159,-0.0677
0.3159,-0.0676
0.3161,-0.0677
0.3164,-0.0679
0.3164,-0.0679
0.3166,-0.0679
0.3166,-0.0679
0.3170,-0.0679
0.3171,-0.0679
0.3173,-0.0678
0.3176,-0.0677
0.3181,-0.0677
0.3184,-0.0678
0.3185,-0.0678
0.3189,-0.0677
0.3190,-0.0677
0.3194,-0.0678
0.3195,-0.0681
0.3196,-0.0678
0.3200,-0.0674
0.3201,-0.0681
0.3201,-0.0681
0.3203,-0.0680
0.3203,-0.0680
0.3204,-0.0676
0.3211,-0.0680
0.3218,-0.0680
0.3220,-0.0680
0.3228,-0.0676
0.3231,-0.0676
0.3236,-0.0677
0.3238,-0.0680
0.3241,-0.0677
0.3243,-0.0677
0.3244,-0.0677
0.3248,-0.0678
0.3248,-0.0677
0.3251,-0.0676
0.3251,-0.0676
0.3252,-0.0678
0.3254,-0.0679
0.3257,-0.0679
0.3267,-0.0676
0.3269,-0.0679
0.3271,-0.0680
0.3279,-0.0680
0.3280,-0.0677
0.3281,-0.0677
0.3281,-0.0677
0.3281,-0.0677
0.3283,-0.0677
0.3284,-0.0677
0.3284,-0.0676
0.3285,-0.0677
0.3285,-0.0676
0.3285,-0.0678
0.3285,-0.0676
0.3287,-0.0678
0.3292,-0.0678
0.3293,-0.0678
0.3302,-0.0675
0.3303,-0.0675
0.3303,-0.0675
0.3304,-0.0678
0.3304,-0.0677
0.3304,-0.0676
0.3305,-0.0677
0.3305,-0.0678
0.3305,-0.0678
0.3312,-0.0678
0.3313,-0.0677
0.3314,-0.0678
0.3314,-0.0678
0.3325,-0.0678
0.3327,-0.0673
0.3331,-0.0677
0.3332,-0.0677
0.3337,-0.0677
0.3342,-0.0675
0.3344,-0.0675
0.3345,-0.0677
0.3348,-0.0677
0.3348,-0.0676
0.3352,-0.0676
0.3356,-0.0676
0.3361,-0.0676
0.3362,-0.0676
0.3363,-0.0676
0.3368,-0.0676
0.3371,-0.0676
0.3380,-0.0676
0.3380,-0.0677
0.3383,-0.0676
0.3385,-0.0676
0.3386,-0.0680
0.3388,-0.0680
0.3389,-0.0675
0.3390,-0.0674
0.3390,-0.0674
0.3392,-0.0678
0.3392,-0.0678
0.3397,-0.0674
0.3400,-0.0678
0.3401,-0.0678
0.3401,-0.0678
0.3411,-0.0678
0.3421,-0.0678
0.3425,-0.0678
0.3425,-0.0679
0.3425,-0.0678
0.3426,-0.0676
0.3426,-0.0678
0.3426,-0.0679
0.3428,-0.0679
0.3428,-0.0677
0.3430,-0.0677
0.3431,-0.0677
0.3435,-0.0677
0.3436,-0.0677
0.3445,-0.0677
0.3445,-0.0677
0.3450,-0.0677
0.3455,-0.0677
0.3457,-0.0677
0.3459,-0.0672
0.3460,-0.0678
0.3461,-0.0680
0.3470,-0.0680
0.3473,-0.0680
0.3476,-0.0680
0.3476,-0.0680
0.3484,-0.0680
0.3486,-0.0680
0.3486,-0.0676
0.3486,-0.0676
0.3490,-0.0680
0.3495,-0.0678
0.3497,-0.0678
0.3498,-0.0673
0.3507,-0.0677
0.3511,-0.0678
0.3515,-0.0677
0.3515,-0.0673
0.3516,-0.0673
0.3517,-0.0676
0.3518,-0.0677
0.3519,-0.0676
0.3521,-0.0676
0.3523,-0.0676
0.3524,-0.0677
0.3524,-0.0677
0.3529,-0.0677
0.3533,-0.0674
0.3533,-0.0677
0.3535,-0.0676
0.3538,-0.0676
0.3545,-0.0675
0.3546,-0.0676
0.3547,-0.0676
0.3547,-0.0676
0.3547,-0.0675
0.3547,-0.0674
0.3550,-0.0675
0.3552,-0.0679
0.3552,-0.0674
0.3556,-0.0674
0.3558,-0.0675
0.3559,-0.0676
0.3566,-0.0676
0.3566,-0.0676
0.3566,-0.0676
0.3572,-0.0676
0.3572,-0.0677
0.3572,-0.0677
0.3574,-0.0676
0.3575,-0.0677
0.3575,-0.0677
0.3578,-0.0678
0.3579,-0.0677
0.3583,-0.0676
0.3583,-0.0678
0.3584,-0.0678
0.3586,-0.0674
0.3586,-0.0674
0.3588,-0.0674
0.3598,-0.0674
0.3598,-0.0674
0.3604,-0.0674
0.3605,-0.0674
0.3607,-0.0674
0.3607,-0.0680
0.3609,-0.0677
0.3610,-0.0674
0.3613,-0.0677
0.3614,-0.0679
0.3614,-0.0679
0.3623,-0.0679
0.3625,-0.0677
0.3629,-0.0679
0.3634,-0.0679
0.3636,-0.0676
0.3643,-0.0675
0.3644,-0.0675
0.3645,-0.0676
0.3646,-0.0680
0.3648,-0.0677
0.3651,-0.0677
0.3653,-0.0679
0.3653,-0.0679
0.3659,-0.0677
0.3663,-0.0675
0.3667,-0.0675
0.3668,-0.0675
0.3671,-0.0677
0.3675,-0.0675
0.3684,-0.0675
0.3686,-0.0676
0.3699,-0.0677
0.3699,-0.0677
0.3699,-0.0676
0.3699,-0.0676
0.3701,-0.0676
0.3701,-0.0678
0.3705,-0.0678
0.3705,-0.0674
0.3709,-0.0674
0.3712,-0.0679
0.3713,-0.0679
0.3714,-0.0679
0.3715,-0.0677
0.3719,-0.0677
0.3721,-0.0679
0.3730,-0.0677
0.3730,-0.0677
0.3730,-0.0676
0.3731,-0.0677
0.3732,-0.0676
0.3732,-0.0676
0.3737,-0.0676
0.3737,-0.0677
0.3739,-0.0678
0.3739,-0.0678
0.3743,-0.0675
0.3745,-0.0675
0.3751,-0.0678
0.3757,-0.0681
0.3762,-0.0675
0.3763,-0.0675
0.3765,-0.0678
0.3767,-0.0679
0.3767,-0.0679
0.3773,-0.0678
0.3773,-0.0675
0.3777,-0.0678
