X, Y0
0.2155,-0.0169
0.2160,-0.0207
0.2163,-0.0241
0.2163,-0.0241
0.2164,-0.0241
0.2164,-0.0241
0.2164,-0.0241
0.2166,-0.0241
0.2174,-0.0249
0.2176,-0.0214
0.2176,-0.0266
0.2176,-0.0230
0.2177,-0.0230
0.2178,-0.0230
0.2184,-0.0230
0.2185,-0.0230
0.2190,-0.0230
0.2196,-0.0230
0.2201,-0.0225
0.2205,-0.0257
0.2206,-0.0205
0.2208,-0.0239
0.2208,-0.0239
0.2210,-0.0239
0.2214,-0.0239
0.2214,-0.0239
0.2215,-0.0239
0.2222,-0.0239
0.2228,-0.0244
0.2228,-0.0211
0.2232,-0.0259
0.2234,-0.0226
0.2247,-0.0226
0.2248,-0.0226
0.2252,-0.0226
0.2256,-0.0226
0.2259,-0.0226
0.2261,-0.0226
0.2265,-0.0218
0.2265,-0.0253
0.2272,-0.0200
0.2279,-0.0233
0.2280,-0.0233
0.2281,-0.0233
0.2281,-0.0233
0.2286,-0.0233
0.2289,-0.0233
0.2289,-0.0233
0.2295,-0.0240
0.2300,-0.0206
0.2303,-0.0256
0.2303,-0.0221
0.2306,-0.0221
0.2310,-0.0221
0.2310,-0.0221
0.2310,-0.0221
0.2318,-0.0221
0.2318,-0.0221
0.2318,-0.0214
0.2319,-0.0245
0.2320,-0.0194
0.2320,-0.0228
0.2321,-0.0228
0.2323,-0.0228
0.2324,-0.0228
0.2330,-0.0228
0.2330,-0.0228
0.2334,-0.0228
0.2334,-0.0236
0.2334,-0.0202
0.2334,-0.0250
0.2334,-0.0219
0.2336,-0.0219
0.2336,-0.0219
0.2338,-0.0219
0.2340,-0.0219
0.2342,-0.0219
0.2351,-0.0219
0.2352,-0.0212
0.2358,-0.0245
0.2358,-0.0193
0.2358,-0.0225
0.2359,-0.0225
0.2361,-0.0225
0.2362,-0.0225
0.2364,-0.0225
0.2364,-0.0225
0.2364,-0.0225
0.2364,-0.0234
0.2375,-0.0198
0.2375,-0.0250
0.2376,-0.0212
0.2380,-0.0212
0.2386,-0.0212
0.2387,-0.0212
0.2391,-0.0212
0.2392,-0.0212
0.2395,-0.0212
0.2400,-0.0206
0.2405,-0.0237
0.2408,-0.0183
0.2408,-0.0217
0.2414,-0.0217
0.2415,-0.0217
0.2415,-0.0217
0.2419,-0.0217
0.2424,-0.0217
0.2428,-0.0217
0.2432,-0.0224
0.2440,-0.0189
0.2443,-0.0238
0.2448,-0.0202
0.2448,-0.0202
0.2448,-0.0202
0.2450,-0.0202
0.2454,-0.0202
0.2456,-0.0202
0.2456,-0.0202
0.2461,-0.0194
0.2463,-0.0227
0.2466,-0.0170
0.2473,-0.0204
0.2473,-0.0204
0.2478,-0.0204
0.2480,-0.0204
0.2480,-0.0204
0.2484,-0.0204
0.2484,-0.0204
0.2484,-0.0210
0.2481,-0.0176
0.2481,-0.0222
0.2481,-0.0184
0.2486,-0.0184
0.2486,-0.0184
0.2489,-0.0184
0.2501,-0.0184
0.2502,-0.0184
0.2503,-0.0184
0.2508,-0.0180
