X, Y0
0.0000,-0.0390
0.0000,-0.0390
0.0000,-0.0391
3.2097E-5,-0.0391
0.0006,-0.0391
0.0010,-0.0390
0.0011,-0.0390
0.0013,-0.0386
0.0016,-0.0386
0.0013,-0.0386
0.0016,-0.0385
0.0016,-0.0385
0.0016,-0.0388
0.0016,-0.0388
0.0016,-0.0388
0.0016,-0.0389
0.0017,-0.0388
0.0027,-0.0396
0.0028,-0.0396
0.0028,-0.0396
0.0028,-0.0396
0.0031,-0.0396
0.0031,-0.0395
0.0031,-0.0395
0.0035,-0.0395
0.0035,-0.0392
0.0035,-0.0392
0.0036,-0.0390
0.0036,-0.0390
0.0038,-0.0387
0.0039,-0.0387
0.0042,-0.0387
0.0045,-0.0387
0.0049,-0.0387
0.0051,-0.0387
0.0054,-0.0387
0.0056,-0.0387
0.0056,-0.0394
0.0063,-0.0389
0.0063,-0.0390
0.0063,-0.0390
0.0064,-0.0390
0.0065,-0.0390
0.0066,-0.0390
0.0067,-0.0390
0.0067,-0.0390
0.0076,-0.0396
0.0087,-0.0388
0.0090,-0.0396
0.0090,-0.0392
0.0090,-0.0392
0.0090,-0.0389
0.0090,-0.0389
0.0091,-0.0389
0.0090,-0.0389
0.0090,-0.0389
0.0090,-0.0380
0.0089,-0.0389
0.0088,-0.0380
0.0088,-0.0383
0.0088,-0.0383
0.0089,-0.0387
0.0089,-0.0387
0.0089,-0.0387
0.0090,-0.0387
0.0090,-0.0387
0.0090,-0.0396
0.0090,-0.0387
0.0088,-0.0396
0.0088,-0.0394
0.0088,-0.0394
0.0088,-0.0385
0.0088,-0.0385
0.0088,-0.0385
0.0092,-0.0385
0.0092,-0.0385
0.0092,-0.0385
0.0097,-0.0385
0.0097,-0.0385
0.0099,-0.0385
0.0101,-0.0385
0.0101,-0.0388
0.0104,-0.0388
0.0104,-0.0388
0.0106,-0.0388
0.0106,-0.0388
0.0107,-0.0396
0.0107,-0.0388
0.0110,-0.0396
0.0116,-0.0390
0.0120,-0.0390
0.0121,-0.0387
0.0122,-0.0387
0.0127,-0.0387
0.0131,-0.0387
0.0131,-0.0387
0.0133,-0.0383
0.0135,-0.0387
0.0136,-0.0385
0.0138,-0.0385
0.0142,-0.0385
0.0144,-0.0386
0.0144,-0.0386
0.0144,-0.0386
0.0147,-0.0386
0.0149,-0.0386
0.0154,-0.0388
0.0155,-0.0386
0.0159,-0.0390
0.0164,-0.0390
0.0164,-0.0395
0.0166,-0.0395
0.0170,-0.0395
0.0173,-0.0396
0.0175,-0.0396
0.0178,-0.0396
0.0176,-0.0396
0.0178,-0.0396
0.0180,-0.0388
0.0181,-0.0388
0.0182,-0.0388
0.0186,-0.0388
0.0189,-0.0388
0.0190,-0.0388
0.0194,-0.0388
0.0194,-0.0382
0.0194,-0.0390
0.0194,-0.0381
0.0196,-0.0390
0.0194,-0.0390
0.0194,-0.0390
0.0196,-0.0390
0.0197,-0.0390
0.0197,-0.0390
0.0197,-0.0390
0.0197,-0.0395
